team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
FC Bayern München,FCB,25,21,3,1,66,92,24,68,3.68,0.96,9,11,1,1,10,2,0,WWWWW
Borussia Dortmund,BVB,24,15,7,2,52,51,25,26,2.12,1.04,11,9,2,1,6,5,1,WWWDL
TSG 1899 Hoffenheim,TSG,24,14,4,6,46,49,31,18,2.04,1.29,6,8,0,4,6,4,2,WLWDL
VfB Stuttgart,VFB,24,14,4,6,46,48,32,16,2.0,1.33,9,9,2,1,5,2,5,WLWDW
RB Leipzig,RBL,24,13,5,6,44,46,33,13,1.92,1.38,9,7,2,3,6,3,3,LWDDW
Bayer 04 Leverkusen,B04,24,13,4,7,43,45,29,16,1.88,1.21,7,7,2,3,6,2,4,DWLDW
Eintracht Frankfurt,SGE,24,9,7,8,34,48,49,-1,2.0,2.04,5,6,2,4,3,5,4,LDWLW
SC Freiburg,SCF,24,9,6,9,33,34,39,-5,1.42,1.62,5,7,3,1,2,3,8,LWLWL
FC Augsburg,FCA,24,9,4,11,31,30,41,-11,1.25,1.71,5,6,3,4,3,1,7,WLWWW
1. FC Union Berlin,UNB,24,7,7,10,28,29,38,-9,1.21,1.58,5,4,5,3,3,2,7,LDLWL
Hamburger SV,HSV,24,6,8,10,26,26,35,-9,1.08,1.46,6,5,4,4,1,4,6,WWDLL
Borussia Mönchengladbach,BMG,25,6,7,12,25,28,43,-15,1.12,1.72,9,3,4,5,3,3,7,DLLWL
1. FC Köln,KOE,24,6,6,12,24,33,41,-8,1.38,1.71,3,4,3,5,2,3,7,WLLDL
1. FSV Mainz 05,M05,24,5,8,11,23,27,39,-12,1.12,1.62,2,3,4,5,2,4,6,WWLDD
FC St. Pauli 1910,STP,24,6,5,13,23,23,40,-17,0.96,1.67,4,4,3,4,2,2,9,LWLWW
SV Werder Bremen,SVW,24,5,7,12,22,25,44,-19,1.04,1.83,5,4,4,4,1,3,8,DLLLW
VfL Wolfsburg,WOB,24,5,5,14,20,33,53,-20,1.38,2.21,1,2,3,7,3,2,7,LLDLL
1. FC Heidenheim 1846,HEI,24,3,5,16,14,22,53,-31,0.92,2.21,0,2,4,6,1,1,10,LLLDL
