team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Bayer 04 Leverkusen,34,28,6,0,90,89.0,24.0,65.0,17,14,17,14,82.4,82.4,62.0,63.94,60.06,2.2,2.4,2.0,3.68,4.24,3.12,2.09,2.56,1.65,18.21,19.71,16.71,,,,,,,,,,2.38,1.82,2.94,6.94,7.65,6.24,1.79,1.65,1.94,0.0,0.0,0.0,,,,597.79,628.88,566.71,,,,8.97,9.47,8.47,2.28,2.8,1.82,,,,,,,,,,,,,,,
VfB Stuttgart,34,23,4,7,73,78.0,39.0,39.0,17,13,17,10,76.5,58.8,60.26,61.35,59.18,2.11,2.44,1.78,3.76,4.41,3.12,2.12,2.19,2.06,15.79,17.59,14.0,,,,,,,,,,2.88,3.06,2.69,4.88,5.65,4.12,1.65,1.06,2.24,0.25,0.0,0.5,,,,539.79,575.12,504.47,,,,9.68,8.29,11.06,1.52,1.75,1.29,,,,,,,,,,,,,,,
FC Bayern München,34,23,3,8,72,94.0,45.0,49.0,17,14,17,9,82.4,52.9,61.47,60.71,62.24,2.56,2.79,2.33,4.32,4.82,3.82,2.66,2.88,2.44,18.76,19.82,17.71,,,,,,,,,,2.32,2.18,2.47,6.71,7.24,6.18,1.47,0.81,2.12,0.67,0.5,1.0,,,,560.38,568.82,551.94,,,,8.94,8.65,9.24,1.76,2.18,1.35,,,,,,,,,,,,,,,
RB Leipzig,34,19,8,7,65,77.0,39.0,38.0,17,11,17,8,64.7,47.1,55.53,56.18,54.88,1.97,2.29,1.64,3.18,3.53,2.82,1.88,2.18,1.56,15.74,18.24,13.24,,,,,,,,,,2.35,2.18,2.53,5.88,6.76,5.0,1.85,1.5,2.18,0.17,0.0,0.25,,,,451.71,470.88,432.53,,,,10.44,10.71,10.18,2.03,1.75,2.29,,,,,,,,,,,,,,,
Borussia Dortmund,34,18,9,7,63,68.0,43.0,25.0,17,10,17,8,58.8,47.1,58.32,61.06,55.59,1.91,2.2,1.61,3.18,3.59,2.76,1.85,2.25,1.47,15.06,17.88,12.24,,,,,,,,,,3.06,2.82,3.29,5.18,6.0,4.35,1.79,1.35,2.25,0.8,1.0,0.75,,,,481.59,514.94,448.24,,,,9.26,8.76,9.76,1.33,1.0,1.65,,,,,,,,,,,,,,,
Eintracht Frankfurt,34,11,14,9,47,51.0,50.0,1.0,17,7,17,4,41.2,23.5,52.09,56.12,48.06,1.39,1.65,1.14,2.33,2.75,1.94,1.52,1.69,1.33,11.91,14.18,9.65,,,,,,,,,,2.85,2.12,3.59,4.74,5.71,3.76,2.19,2.06,2.31,0.83,0.33,1.33,,,,413.76,442.59,384.94,,,,10.44,9.71,11.18,1.5,1.35,1.65,,,,,,,,,,,,,,,
TSG Hoffenheim,34,13,7,14,46,66.0,66.0,0.0,17,6,17,7,35.3,41.2,49.71,52.0,47.41,1.6,1.76,1.44,2.58,2.62,2.53,1.4,1.6,1.2,13.62,16.12,11.12,,,,,,,,,,4.29,3.41,5.18,4.38,5.71,3.06,2.53,2.59,2.47,0.62,0.5,0.75,,,,371.0,404.53,337.47,,,,9.97,9.53,10.41,1.58,1.41,1.75,,,,,,,,,,,,,,,
1. FC Heidenheim,34,10,12,12,42,50.0,55.0,-5.0,17,7,17,3,41.2,17.6,42.0,44.71,39.29,1.17,1.28,1.06,1.88,1.82,1.94,1.26,1.25,1.27,11.62,13.88,9.35,,,,,,,,,,3.65,3.24,4.06,5.38,6.24,4.53,1.59,1.71,1.47,1.0,,1.0,,,,273.85,289.06,258.65,,,,13.0,12.24,13.76,1.12,1.35,0.88,,,,,,,,,,,,,,,
SV Werder Bremen,34,11,9,14,42,48.0,54.0,-6.0,17,7,17,4,41.2,23.5,46.91,47.06,46.76,1.39,1.54,1.23,2.0,2.35,1.65,1.06,1.19,0.94,12.15,12.82,11.47,,,,,,,,,,3.38,3.18,3.59,3.53,4.18,2.88,2.21,2.25,2.18,0.33,0.33,0.33,,,,353.06,370.53,335.59,,,,11.65,12.24,11.06,2.33,2.4,2.27,,,,,,,,,,,,,,,
SC Freiburg,34,11,9,14,42,45.0,58.0,-13.0,17,5,17,6,29.4,35.3,46.44,49.35,43.53,1.47,1.85,1.09,2.45,2.94,1.94,1.67,1.94,1.36,11.79,14.53,9.06,,,,,,,,,,3.03,2.59,3.47,3.76,4.41,3.12,1.94,2.12,1.76,0.8,0.8,,,,,340.62,369.47,311.76,,,,10.71,11.35,10.06,1.73,1.71,1.77,,,,,,,,,,,,,,,
