team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
Paris Saint-Germain FC,PSG,17,11,1,5,34,38,15,23,2.24,0.88,7,6,1,2,5,0,3,WLWWW
FC Internazionale Milano,INT,15,10,3,2,33,26,16,10,1.73,1.07,8,6,1,0,4,2,2,WDDWL
Arsenal FC,ARS,14,9,2,3,29,31,10,21,2.21,0.71,6,5,1,1,4,1,2,DWWLL
FC Barcelona,FCB,14,9,2,3,29,43,24,19,3.07,1.71,4,5,2,0,4,0,3,WWLDL
Real Madrid CF,RMA,14,9,0,5,27,29,22,7,2.07,1.57,1,5,0,2,4,0,3,WWWLL
Borussia Dortmund,BVB,14,8,2,4,26,31,19,12,2.21,1.36,5,4,2,1,4,0,3,DDWLW
FC Bayern München,FCB,14,8,2,4,26,31,18,13,2.21,1.29,4,5,1,1,3,1,3,DWWLD
Aston Villa FC,AVL,12,8,1,3,25,23,12,11,1.92,1.0,5,5,1,0,3,0,3,WWWLW
Liverpool FC,LIV,10,8,0,2,24,18,6,12,1.8,0.6,6,4,0,1,4,0,1,WWLWL
PSV,PSV,12,5,3,4,18,23,24,-1,1.92,2.0,1,4,1,1,1,2,3,WLWLD
Club Atlético de Madrid,ATL,10,6,0,4,18,22,14,8,2.2,1.4,2,3,0,2,3,0,2,WWWLL
Lille OSC,LIL,10,5,2,3,17,19,13,6,1.9,1.3,1,3,1,1,2,1,2,WLWDL
Club Brugge KV,BRU,12,5,2,5,17,13,19,-6,1.08,1.58,3,3,1,2,2,1,3,LWWLL
Feyenoord Rotterdam,FEY,12,5,2,5,17,21,26,-5,1.75,2.17,2,3,0,3,2,2,2,LWDLL
Sport Lisboa e Benfica,BEN,12,5,2,5,17,21,19,2,1.75,1.58,4,1,2,3,4,0,2,WWDLL
AC Milan,MIL,10,5,1,4,16,15,13,2,1.5,1.3,1,3,1,1,2,0,3,WWLLD
Bayer 04 Leverkusen,B04,10,5,1,4,16,15,12,3,1.5,1.2,5,4,0,1,1,1,3,WLWLL
Atalanta BC,ATA,10,4,3,3,15,22,11,11,2.2,1.1,5,1,2,2,3,1,1,LWDLL
Juventus FC,JUV,10,4,3,3,15,12,11,1,1.2,1.1,3,3,0,2,1,3,1,WDLWL
AS Monaco FC,ASM,10,4,2,4,14,16,17,-1,1.6,1.7,2,3,0,2,1,2,2,LWLLD
Stade Brestois 29,BRE,10,4,1,5,13,10,21,-11,1.0,2.1,2,2,1,2,2,0,3,WLLLL
Celtic FC,CEL,10,3,4,3,13,15,17,-2,1.5,1.7,3,3,1,1,0,3,2,DWLLD
Sporting Clube de Portugal,SPO,10,3,3,4,12,13,15,-2,1.3,1.5,3,2,1,2,1,2,2,LLDLD
Manchester City FC,MCI,10,3,2,5,11,21,20,1,2.1,2.0,3,2,2,1,1,0,4,LLWLL
GNK Dinamo Zagreb,DIN,8,3,2,3,11,12,19,-7,1.5,2.38,2,1,2,1,2,0,2,WLDLW
VfB Stuttgart,VFB,8,3,1,4,10,13,17,-4,1.62,2.12,1,1,1,2,2,0,2,LLWWL
FK Shakhtar Donetsk,SHD,8,2,1,5,7,8,16,-8,1.0,2.0,2,2,0,2,0,1,3,WLLWL
SK Sturm Graz,STU,8,2,0,6,6,5,14,-9,0.62,1.75,2,2,0,2,0,0,4,LWLLW
Bologna FC 1909,BOL,8,1,3,4,6,4,9,-5,0.5,1.12,2,1,1,2,0,2,2,LLDWD
FK Crvena Zvezda,CRV,8,2,0,6,6,13,22,-9,1.62,2.75,1,1,0,3,1,0,3,LWLLW
AC Sparta Praha,SPP,8,1,1,6,4,7,21,-14,0.88,2.62,1,1,0,3,0,1,3,LLLLL
FC Red Bull Salzburg,RBS,8,1,0,7,3,5,27,-22,0.62,3.38,0,0,0,4,1,0,3,WLLLL
RB Leipzig,RBL,8,1,0,7,3,8,15,-7,1.0,1.88,0,1,0,3,0,0,4,LLLWL
Girona FC,GIR,8,1,0,7,3,5,13,-8,0.62,1.62,1,1,0,3,0,0,4,LLLLL
BSC Young Boys,YOB,8,0,0,8,0,3,24,-21,0.38,3.0,0,0,0,4,0,0,4,LLLLL
ŠK Slovan Bratislava,SBA,8,0,0,8,0,7,27,-20,0.88,3.38,0,0,0,4,0,0,4,LLLLL
