team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Qarabağ FK,16,8,1,7,25,31.0,35.0,-4.0,8,4,8,4,50.0,50.0,45.25,46.0,44.5,1.09,1.38,0.81,2.08,2.5,1.67,1.0,1.17,0.83,10.33,10.83,9.83,,,,,,,,,,4.08,4.0,4.17,3.83,4.33,3.33,1.4,1.5,1.25,,,,,,,315.83,309.0,322.67,,,,7.17,9.0,5.33,1.25,1.33,1.17,,,,,,,,,,,,,,,
Arsenal,8,8,0,0,24,23.0,4.0,19.0,4,4,4,4,100.0,100.0,54.75,54.75,54.75,2.54,3.04,2.06,5.5,7.5,3.5,4.14,5.5,2.33,16.88,18.25,15.5,,,,,,,,,,2.25,1.25,3.25,5.5,5.75,5.25,2.25,1.75,2.75,,,,,,,378.25,394.0,362.5,,,,12.38,14.5,10.25,1.62,2.0,1.25,,,,,,,,,,,,,,,
Pafos FC,14,6,5,3,23,16.0,14.0,2.0,7,3,7,3,42.9,42.9,39.0,43.4,34.6,0.89,0.94,0.85,1.67,0.75,2.4,1.44,0.5,2.2,10.1,11.2,9.0,,,,,,,,,,4.1,4.4,3.8,3.4,4.0,2.8,1.8,1.8,1.8,0.67,0.0,1.0,,,,251.2,278.6,223.8,,,,12.4,13.0,11.8,1.57,1.5,1.67,,,,,,,,,,,,,,,
Club Brugge KV,14,7,2,5,23,32.0,27.0,5.0,7,4,7,3,57.1,42.9,49.71,49.14,50.29,1.63,2.03,1.24,3.43,4.71,2.14,2.08,2.57,1.5,14.79,19.57,10.0,,,,,,,,,,3.5,4.0,3.0,4.5,4.43,4.57,1.14,1.14,1.14,0.0,0.0,,,,,432.5,410.86,454.14,,,,8.36,8.29,8.43,1.0,1.17,0.86,,,,,,,,,,,,,,,
FC København,14,6,4,4,22,23.0,22.0,1.0,7,4,7,2,57.1,28.6,46.14,45.29,47.0,1.39,1.84,0.94,2.38,3.29,1.33,1.08,1.71,0.33,10.93,12.14,9.71,,,,,,,,,,3.07,2.71,3.43,4.14,3.57,4.71,2.07,1.57,2.57,0.25,1.0,0.0,,,,338.5,337.86,339.14,,,,14.93,15.0,14.86,2.0,1.5,2.29,,,,,,,,,,,,,,,
FC Bayern München,8,7,0,1,21,22.0,8.0,14.0,4,4,4,3,100.0,75.0,58.5,63.75,53.25,2.52,2.87,2.17,5.12,5.0,5.25,3.12,3.25,3.0,17.38,19.75,15.0,,,,,,,,,,3.25,1.5,5.0,4.62,5.75,3.5,2.0,2.25,1.75,0.67,1.0,0.5,,,,556.38,663.75,449.0,,,,10.88,11.5,10.25,2.0,2.33,1.67,,,,,,,,,,,,,,,
Real Madrid,10,7,0,3,21,24.0,13.0,11.0,5,4,5,3,80.0,60.0,57.8,53.2,62.4,2.08,2.55,1.61,3.9,3.8,4.0,2.3,2.4,2.2,18.6,22.2,15.0,,,,,,,,,,5.0,4.6,5.4,6.3,7.8,4.8,2.4,2.0,2.8,1.5,1.0,2.0,,,,483.4,444.6,522.2,,,,10.9,11.6,10.2,1.0,1.0,1.0,,,,,,,,,,,,,,,
Newcastle United,10,6,2,2,20,26.0,10.0,16.0,5,4,5,2,80.0,40.0,50.5,53.2,47.8,2.31,2.02,2.61,4.5,4.0,5.0,2.2,2.0,2.4,14.5,13.4,15.6,,,,,,,,,,3.9,3.0,4.8,5.5,6.4,4.6,1.3,1.0,1.6,,,,,,,370.8,384.6,357.0,,,,8.9,10.4,7.4,1.33,1.8,0.75,,,,,,,,,,,,,,,
Benfica,14,6,1,7,19,16.0,15.0,1.0,7,4,7,2,57.1,28.6,47.14,47.43,46.86,1.41,1.74,1.09,2.46,3.14,1.67,1.62,2.0,1.17,13.79,16.57,11.0,,,,,,,,,,3.07,2.29,3.86,5.36,5.0,5.71,1.92,1.67,2.14,0.25,0.0,0.5,,,,363.21,364.43,362.0,,,,10.5,9.43,11.57,1.46,1.86,1.0,,,,,,,,,,,,,,,
Bodø/Glimt,12,5,3,4,18,25.0,19.0,6.0,6,3,6,2,50.0,33.3,47.83,51.33,44.33,1.77,1.75,1.79,3.0,2.67,3.33,1.58,1.33,1.83,11.67,14.33,9.0,,,,,,,,,,5.25,3.83,6.67,3.83,4.0,3.67,1.08,0.83,1.33,0.5,0.5,,,,,377.0,440.33,313.67,,,,9.25,10.17,8.33,1.45,2.2,0.83,,,,,,,,,,,,,,,
