team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
PSV,PSV,34,29,4,1,91,111,21,90,3.26,0.62,18,16,1,0,13,3,1,WWWDW
Feyenoord Rotterdam,FEY,34,26,6,2,84,92,26,66,2.71,0.76,17,13,3,1,13,3,1,WWWWW
FC Twente '65,TWE,34,21,6,7,69,69,36,33,2.03,1.06,10,14,1,2,7,5,5,LWLWW
AZ,AZ,34,19,8,7,65,70,39,31,2.06,1.15,13,11,3,3,8,5,4,WWWWD
AFC Ajax,AJA,34,15,11,8,56,74,61,13,2.18,1.79,5,9,6,2,6,5,6,WDWWD
NEC,NEC,34,14,11,9,53,68,50,18,2.0,1.47,7,8,4,5,6,7,4,DLWLW
FC Utrecht,UTR,34,13,11,10,50,49,47,2,1.44,1.38,8,8,5,4,5,6,6,WDWLD
Sparta Rotterdam,SPA,34,14,7,13,49,51,48,3,1.5,1.41,8,6,5,6,8,2,7,WWLWW
Go Ahead Eagles,GOA,34,12,10,12,46,47,46,1,1.38,1.35,11,7,4,6,5,6,6,LLDLW
Fortuna Sittard,SIT,34,9,11,14,38,37,56,-19,1.09,1.65,9,7,6,4,2,5,10,LLDDD
SC Heerenveen,HEE,34,10,7,17,37,53,70,-17,1.56,2.06,7,6,3,8,4,4,9,WLDLL
PEC Zwolle,ZWO,34,9,9,16,36,45,67,-22,1.32,1.97,5,5,3,9,4,6,7,DWLDL
Almere City FC,ALM,34,7,13,14,34,33,59,-26,0.97,1.74,10,3,7,7,4,6,7,LLDLL
Heracles Almelo,HER,34,9,6,19,33,41,74,-33,1.21,2.18,4,6,4,7,3,2,12,LLLLD
SBV Excelsior,EXC,34,6,11,17,29,50,73,-23,1.47,2.15,6,4,7,6,2,4,11,WDLWL
RKC Waalwijk,RKC,34,7,8,19,29,38,56,-18,1.12,1.65,5,4,6,7,3,2,12,LDWDL
SBV Vitesse,VIT,34,6,6,22,24,29,74,-45,0.85,2.18,3,2,6,9,4,0,13,LWLWD
FC Volendam,VOL,34,4,7,23,19,34,88,-54,1.0,2.59,2,3,2,12,1,5,11,LLLLL
