team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
AFC Ajax,34,26,5,3,83,98.0,19.0,79.0,17,14,17,12,82.4,70.6,66.5,68.41,64.59,,,,3.97,5.0,2.94,2.3,3.06,1.5,20.06,23.18,16.94,,,,,,,,,,1.74,1.35,2.12,7.24,7.76,6.71,1.17,1.23,1.12,1.0,1.0,,,,,531.38,566.35,496.41,,,,8.47,7.76,9.18,2.45,3.08,1.94,,,,,,,,,,,,,,,
PSV Eindhoven,34,26,3,5,81,86.0,42.0,44.0,17,14,17,12,82.4,70.6,57.82,59.53,56.12,,,,3.03,2.94,3.12,1.94,2.0,1.88,18.12,17.59,18.65,,,,,,,,,,2.24,1.71,2.76,7.03,6.88,7.18,1.35,1.14,1.53,0.0,0.0,0.0,,,,472.71,505.12,440.29,,,,8.38,8.29,8.47,1.93,1.75,2.06,,,,,,,,,,,,,,,
Feyenoord,34,22,5,7,71,76.0,34.0,42.0,17,11,17,11,64.7,64.7,58.65,60.59,56.71,,,,3.12,3.24,3.0,2.21,2.36,2.07,19.21,20.29,18.12,,,,,,,,,,2.24,1.71,2.76,6.85,6.76,6.94,1.52,1.6,1.42,0.0,,0.0,,,,446.21,481.47,410.94,,,,9.68,9.24,10.12,2.16,2.06,2.27,,,,,,,,,,,,,,,
FC Twente,34,20,8,6,68,55.0,37.0,18.0,17,10,17,10,58.8,58.8,51.29,52.82,49.76,,,,2.29,2.35,2.24,1.43,1.53,1.31,12.79,15.76,9.82,,,,,,,,,,2.91,2.71,3.12,3.97,4.47,3.47,1.69,1.56,1.81,0.38,0.33,0.4,,,,337.5,339.94,335.06,,,,10.97,11.41,10.53,1.26,1.13,1.38,,,,,,,,,,,,,,,
AZ Alkmaar,38,20,7,11,67,75.0,50.0,25.0,19,13,19,7,68.4,36.8,56.21,57.84,54.58,,,,2.54,2.74,2.33,1.5,1.53,1.47,13.66,14.26,13.05,,,,,,,,,,2.53,2.11,2.95,5.39,5.42,5.37,1.71,1.65,1.76,0.25,0.0,0.5,,,,446.03,475.26,416.79,,,,9.89,10.21,9.58,2.22,2.44,2.0,,,,,,,,,,,,,,,
Vitesse,38,17,6,15,57,52.0,61.0,-9.0,19,8,19,9,42.1,47.4,52.05,53.68,50.42,,,,2.0,2.11,1.88,1.31,1.44,1.14,14.79,15.95,13.63,,,,,,,,,,2.87,2.68,3.05,5.05,5.68,4.42,2.28,2.21,2.35,0.88,1.25,0.5,,,,327.74,348.68,306.79,,,,11.87,11.68,12.05,1.72,1.94,1.53,,,,,,,,,,,,,,,
FC Utrecht,36,13,11,12,50,54.0,53.0,1.0,18,9,18,4,50.0,22.2,47.39,48.83,45.94,,,,2.49,3.44,1.47,1.82,2.47,1.12,13.81,16.28,11.33,,,,,,,,,,2.92,2.33,3.5,5.97,6.89,5.06,1.7,1.33,2.13,0.0,0.0,0.0,,,,311.81,313.06,310.56,,,,10.83,11.0,10.67,1.25,1.22,1.28,,,,,,,,,,,,,,,
SC Heerenveen,36,12,8,16,44,40.0,54.0,-14.0,18,7,18,5,38.9,27.8,47.17,46.39,47.94,,,,1.97,2.29,1.6,1.26,1.38,1.13,11.75,11.78,11.72,,,,,,,,,,2.94,2.94,2.94,4.86,4.94,4.78,1.55,1.71,1.33,0.5,1.0,0.0,,,,328.11,317.94,338.28,,,,8.36,7.33,9.39,1.81,1.72,1.93,,,,,,,,,,,,,,,
SC Cambuur,34,11,6,17,39,53.0,70.0,-17.0,17,5,17,6,29.4,35.3,48.47,49.24,47.71,,,,1.59,1.82,1.35,0.71,0.94,0.47,9.91,10.94,8.88,,,,,,,,,,4.09,3.94,4.24,3.47,3.71,3.24,1.86,1.54,2.12,0.6,0.75,0.0,,,,314.0,318.18,309.82,,,,9.82,10.24,9.41,1.48,1.71,1.25,,,,,,,,,,,,,,,
NEC Nijmegen,34,10,8,16,38,38.0,52.0,-14.0,17,3,17,7,17.6,41.2,47.38,52.53,42.24,,,,1.42,1.25,1.59,0.93,1.08,0.79,12.15,14.65,9.65,,,,,,,,,,3.38,3.18,3.59,4.18,5.47,2.88,1.72,1.53,1.93,0.38,0.5,0.25,,,,343.32,380.59,306.06,,,,9.97,9.94,10.0,2.0,2.08,1.92,,,,,,,,,,,,,,,
