team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Barcelona,38,28,4,6,88,102.0,39.0,63.0,19,14,19,14,73.7,73.7,69.05,70.89,67.21,2.43,2.74,2.12,4.24,4.79,3.68,2.51,2.95,2.06,17.84,20.53,15.16,,,,,,,,,,1.87,1.32,2.42,6.97,8.53,5.42,1.75,1.41,2.05,0.6,0.0,0.75,,,,561.21,595.16,527.26,,,,9.68,9.95,9.42,1.76,2.06,1.47,,,,,,,,,,,,,,,
Real Madrid,38,26,6,6,84,78.0,38.0,40.0,19,16,19,10,84.2,52.6,60.42,62.37,58.47,2.02,2.48,1.56,3.53,4.42,2.63,2.27,2.84,1.67,16.71,19.32,14.11,,,,,,,,,,2.37,1.63,3.11,6.39,8.42,4.37,1.57,1.33,1.79,0.5,0.0,0.57,,,,537.84,563.84,511.84,,,,8.74,8.21,9.26,2.36,2.89,1.76,,,,,,,,,,,,,,,
Atlético Madrid,38,22,10,6,76,68.0,30.0,38.0,19,14,19,8,73.7,42.1,52.5,52.37,52.63,1.72,2.18,1.27,3.0,4.05,1.95,1.83,2.65,1.06,12.37,14.68,10.05,,,,,,,,,,2.32,1.84,2.79,5.0,5.84,4.16,2.06,1.89,2.24,1.0,1.0,1.0,,,,441.21,444.58,437.84,,,,10.84,10.37,11.32,2.12,2.0,2.25,,,,,,,,,,,,,,,
Villarreal,38,20,10,8,70,71.0,51.0,20.0,19,9,19,11,47.4,57.9,47.55,48.21,46.89,1.74,1.94,1.54,3.03,3.32,2.74,1.83,2.06,1.59,14.13,15.53,12.74,,,,,,,,,,3.0,2.79,3.21,4.82,5.26,4.37,2.47,2.32,2.63,0.44,0.67,0.33,,,,356.84,369.37,344.32,,,,11.63,11.42,11.84,2.2,2.26,2.12,,,,,,,,,,,,,,,
Athletic Club,38,19,13,6,70,54.0,29.0,25.0,19,11,19,8,57.9,42.1,48.42,49.68,47.16,1.42,1.67,1.17,2.21,2.89,1.53,1.56,2.0,1.06,12.32,13.53,11.11,,,,,,,,,,2.24,1.68,2.79,5.08,5.26,4.89,1.73,1.83,1.63,0.43,0.5,0.4,,,,331.32,341.63,321.0,,,,12.71,13.16,12.26,1.79,1.84,1.74,,,,,,,,,,,,,,,
Real Betis,38,16,12,10,60,57.0,50.0,7.0,19,9,19,7,47.4,36.8,52.53,55.47,49.58,1.46,1.73,1.19,2.18,2.53,1.84,1.57,1.89,1.24,13.89,15.95,11.84,,,,,,,,,,2.47,1.84,3.11,5.18,5.42,4.95,2.03,2.0,2.06,0.33,0.33,0.33,,,,388.82,420.84,356.79,,,,11.39,10.47,12.32,1.56,1.41,1.68,,,,,,,,,,,,,,,
Celta Vigo,38,16,7,15,55,59.0,57.0,2.0,19,11,19,5,57.9,26.3,53.76,54.05,53.47,1.46,1.5,1.42,2.45,2.53,2.37,1.69,1.71,1.67,11.87,12.37,11.37,,,,,,,,,,2.42,2.32,2.53,3.92,4.47,3.37,2.27,2.11,2.44,0.5,0.29,0.8,,,,442.0,455.32,428.68,,,,12.16,12.32,12.0,1.86,2.06,1.67,,,,,,,,,,,,,,,
Rayo Vallecano,38,13,13,12,52,41.0,45.0,-4.0,19,6,19,7,31.6,36.8,51.71,55.16,48.26,1.21,1.39,1.03,2.14,2.37,1.89,1.57,1.94,1.22,13.55,15.68,11.42,,,,,,,,,,2.97,3.0,2.94,5.32,5.74,4.89,2.59,2.28,2.89,0.43,0.5,0.33,,,,338.58,364.95,312.21,,,,13.74,13.0,14.47,2.26,2.19,2.32,,,,,,,,,,,,,,,
Osasuna,38,12,16,10,52,48.0,52.0,-4.0,19,10,19,2,52.6,10.5,45.95,47.32,44.58,1.19,1.37,1.01,1.73,2.0,1.44,1.0,1.06,0.94,11.0,12.32,9.68,,,,,,,,,,3.61,3.58,3.63,4.61,4.89,4.32,2.38,2.42,2.33,0.0,0.0,0.0,,,,294.55,297.89,291.21,,,,13.37,13.53,13.21,1.74,2.32,1.16,,,,,,,,,,,,,,,
Mallorca,38,13,9,16,48,35.0,44.0,-9.0,19,7,19,6,36.8,31.6,46.61,47.95,45.26,1.02,1.07,0.97,1.89,2.0,1.79,1.4,1.39,1.41,10.18,11.26,9.11,,,,,,,,,,3.38,2.89,3.84,3.82,4.63,3.0,2.13,1.84,2.42,0.75,0.67,1.0,,,,306.61,316.68,296.53,,,,12.26,11.26,13.26,2.23,2.56,1.88,,,,,,,,,,,,,,,
Valencia,38,11,13,14,46,44.0,54.0,-10.0,19,9,19,2,47.4,10.5,48.37,49.95,46.79,1.14,1.29,0.99,2.05,2.56,1.58,1.25,1.61,0.89,10.21,11.47,8.95,,,,,,,,,,2.61,2.37,2.84,4.89,5.84,3.95,2.24,2.32,2.17,0.25,0.33,0.0,,,,340.71,347.89,333.53,,,,11.63,12.11,11.16,1.89,1.89,1.89,,,,,,,,,,,,,,,
Real Sociedad,38,13,7,18,46,35.0,46.0,-11.0,19,8,19,5,42.1,26.3,54.03,57.79,50.26,1.13,1.27,1.0,2.05,2.37,1.72,1.62,2.0,1.24,10.24,12.05,8.42,,,,,,,,,,2.55,2.21,2.89,5.68,6.74,4.63,2.43,2.44,2.41,1.33,1.0,1.5,,,,367.45,386.95,347.95,,,,13.18,14.26,12.11,2.16,2.42,1.89,,,,,,,,,,,,,,,
Deportivo Alavés,38,10,12,16,42,38.0,48.0,-10.0,19,6,19,4,31.6,21.1,45.29,46.37,44.21,1.15,1.12,1.18,1.58,1.42,1.74,0.97,1.12,0.82,10.63,10.63,10.63,,,,,,,,,,2.29,2.26,2.32,4.79,5.79,3.79,2.79,2.58,3.0,0.62,1.25,0.0,,,,252.18,262.05,242.32,,,,16.39,15.21,17.58,2.14,2.06,2.22,,,,,,,,,,,,,,,
Getafe,38,11,9,18,42,34.0,39.0,-5.0,19,4,19,7,21.1,36.8,41.24,45.58,36.89,0.99,1.11,0.87,1.69,1.94,1.47,1.0,1.41,0.63,11.45,12.16,10.74,,,,,,,,,,2.5,1.83,3.17,3.87,3.63,4.11,2.87,2.58,3.16,0.64,0.75,0.57,,,,204.18,222.68,185.68,,,,15.84,15.37,16.32,2.37,2.05,2.68,,,,,,,,,,,,,,,
Espanyol,38,11,9,18,42,40.0,51.0,-11.0,19,8,19,3,42.1,15.8,39.55,39.95,39.16,0.92,1.04,0.8,1.65,1.67,1.63,1.12,1.07,1.17,9.37,9.95,8.79,,,,,,,,,,3.82,3.21,4.42,3.79,4.05,3.53,2.32,2.21,2.42,0.33,0.33,,,,,255.11,259.21,251.0,,,,13.11,13.11,13.11,1.74,2.22,1.24,,,,,,,,,,,,,,,
Girona FC,38,11,8,19,41,44.0,60.0,-16.0,19,7,19,4,36.8,21.1,56.45,57.21,55.68,1.13,1.39,0.87,1.84,2.21,1.44,1.22,1.56,0.88,10.58,11.42,9.74,,,,,,,,,,2.86,2.84,2.89,4.89,5.63,4.16,2.26,2.06,2.44,0.33,0.33,0.33,,,,454.26,460.21,448.32,,,,11.5,10.53,12.47,2.14,2.33,1.95,,,,,,,,,,,,,,,
Sevilla,38,10,11,17,41,42.0,55.0,-13.0,19,6,19,4,31.6,21.1,50.61,53.0,48.21,1.14,1.19,1.08,1.84,1.74,1.95,1.36,1.32,1.41,12.5,13.53,11.47,,,,,,,,,,2.47,2.05,2.89,4.87,5.21,4.53,2.58,3.0,2.16,0.73,0.83,0.6,,,,355.53,355.16,355.89,,,,13.0,13.16,12.84,2.06,2.25,1.89,,,,,,,,,,,,,,,
Leganés,38,9,13,16,40,39.0,56.0,-17.0,19,7,19,2,36.8,10.5,42.42,44.0,40.84,0.97,1.06,0.87,1.68,1.74,1.61,1.06,1.06,1.06,9.26,8.89,9.63,,,,,,,,,,3.32,3.06,3.58,2.97,2.68,3.26,2.13,1.95,2.32,0.83,0.8,1.0,,,,273.79,279.89,267.68,,,,13.24,13.58,12.89,2.21,2.84,1.58,,,,,,,,,,,,,,,
Las Palmas,38,8,8,22,32,40.0,61.0,-21.0,19,4,19,4,21.1,21.1,50.92,53.42,48.42,0.95,1.13,0.77,1.63,1.74,1.53,1.11,1.29,0.95,10.87,13.21,8.53,,,,,,,,,,3.37,2.63,4.11,4.21,5.21,3.21,3.0,2.89,3.11,0.4,0.2,0.6,,,,352.45,363.0,341.89,,,,11.89,12.37,11.42,1.55,1.42,1.68,,,,,,,,,,,,,,,
Real Valladolid,38,4,4,30,16,26.0,90.0,-64.0,19,3,19,1,15.8,5.3,42.63,43.79,41.47,0.91,0.99,0.84,1.51,1.67,1.37,1.09,1.29,0.89,8.84,9.58,8.11,,,,,,,,,,3.05,2.63,3.47,4.11,4.26,3.95,2.46,2.67,2.26,0.62,0.75,0.5,,,,294.79,313.16,276.42,,,,12.08,12.16,12.0,1.76,1.89,1.63,,,,,,,,,,,,,,,
