team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
FC Barcelona,38,28,4,6,88,102,39,63,2.68,1.03,13,14,1,4,14,3,2,WWWLW
Real Madrid CF,38,26,6,6,84,78,38,40,2.05,1.0,15,16,1,2,10,5,4,WLWWW
Club Atlético de Madrid,38,22,10,6,76,68,30,38,1.79,0.79,17,14,4,1,8,6,5,DWLWW
Athletic Club,38,19,13,6,70,54,29,25,1.42,0.76,15,11,6,2,8,7,4,DWWWL
Villarreal CF,38,20,10,8,70,71,51,20,1.87,1.34,7,9,7,3,11,3,5,WWWWW
Real Betis Balompié,38,16,12,10,60,57,50,7,1.5,1.32,7,9,7,3,7,5,7,WDDLD
RC Celta de Vigo,38,16,7,15,55,59,57,2,1.55,1.5,8,11,3,5,5,4,10,LWWLW
CA Osasuna,38,12,16,10,52,48,52,-4,1.26,1.37,9,10,6,3,2,10,7,LDWWD
Rayo Vallecano de Madrid,38,13,13,12,52,41,45,-4,1.08,1.18,10,6,8,5,7,5,7,WWDWD
RCD Mallorca,38,13,9,16,48,35,44,-9,0.92,1.16,9,7,6,6,6,3,10,LWLLD
Valencia CF,38,11,13,14,46,44,54,-10,1.16,1.42,8,9,4,6,2,9,8,WWLLD
Real Sociedad de Fútbol,38,13,7,18,46,35,46,-11,0.92,1.21,13,8,3,8,5,4,10,DLLWL
Getafe CF,38,11,9,18,42,34,39,-5,0.89,1.03,9,4,7,8,7,2,10,LLLWL
RCD Espanyol de Barcelona,38,11,9,18,42,40,51,-11,1.05,1.34,8,8,6,5,3,3,13,LLLLW
Deportivo Alavés,38,10,12,16,42,38,48,-10,1.0,1.26,9,6,6,7,4,6,9,DLWWD
Girona FC,38,11,8,19,41,44,60,-16,1.16,1.58,8,7,3,9,4,5,10,WLWLL
Sevilla FC,38,10,11,17,41,42,55,-13,1.11,1.45,10,6,6,7,4,5,10,DLWLL
CD Leganés,38,9,13,16,40,39,56,-17,1.03,1.47,11,7,4,8,2,9,8,DWLWW
UD Las Palmas,38,8,8,22,32,40,61,-21,1.05,1.61,4,4,5,10,4,3,12,LLLLL
Real Valladolid CF,38,4,4,30,16,26,90,-64,0.68,2.37,5,3,4,12,1,0,18,LLLLL
