team,home_team_tla,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,avg_goals_scored,avg_goals_conceded,clean_sheets,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,form_last5
Paris Saint-Germain FC,PSG,25,18,3,4,57,54,22,32,2.16,0.88,13,10,1,1,8,2,3,WLWWL
Racing Club de Lens,RCL,25,18,2,5,56,48,21,27,1.92,0.84,10,11,0,2,7,2,3,WWLDW
Olympique de Marseille,MAR,25,14,4,7,46,52,33,19,2.08,1.32,7,8,3,1,6,1,6,LDLWW
Olympique Lyonnais,LYO,24,14,3,7,45,39,26,13,1.62,1.08,12,9,0,2,5,3,5,WWWLL
Stade Rennais FC 1901,REN,25,12,7,6,43,42,35,7,1.68,1.4,8,7,3,2,5,4,4,LWWWW
Lille OSC,LIL,25,12,5,8,41,38,32,6,1.52,1.28,8,7,3,3,5,2,5,DDWWD
AS Monaco FC,ASM,25,12,4,9,40,43,37,6,1.72,1.48,6,8,1,4,4,3,5,DWWWW
RC Strasbourg Alsace,RC ,25,10,6,9,36,40,31,9,1.6,1.24,8,7,2,3,3,4,6,LDWDD
Stade Brestois 29,BRE,25,10,6,9,36,34,34,0,1.36,1.36,9,7,3,3,3,3,6,WDWWW
FC Lorient,FCL,25,8,10,7,34,35,39,-4,1.4,1.56,5,6,5,1,2,5,6,LWDDD
Angers SCO,ANG,25,9,5,11,32,23,30,-7,0.92,1.2,9,6,2,4,3,3,7,WLLLW
Toulouse FC,TOU,25,8,7,10,31,33,29,4,1.32,1.16,8,4,5,4,4,2,6,LLDLL
Paris FC,PFC,24,6,8,10,26,28,40,-12,1.17,1.67,6,3,4,5,3,4,5,DDLDW
Le Havre AC,HAC,25,6,8,11,26,20,32,-12,0.8,1.28,6,5,5,3,1,3,8,WWLLL
OGC Nice,NIC,25,6,6,13,24,30,48,-18,1.2,1.92,3,4,5,4,2,1,9,DLDLL
AJ Auxerre,AJA,25,4,7,14,19,19,35,-16,0.76,1.4,6,3,3,7,1,4,7,DWLDD
FC Nantes,NAN,25,4,5,16,17,22,42,-20,0.88,1.68,4,2,2,9,2,3,7,LLWLL
FC Metz,FCM,25,3,4,18,13,22,56,-34,0.88,2.24,4,2,3,7,1,1,11,DLLLL
