team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Paris Saint-Germain,38,26,8,4,86,90.0,36.0,54.0,19,16,19,10,84.2,52.6,63.26,62.16,64.37,,,,3.61,3.74,3.47,2.34,2.28,2.41,14.82,15.79,13.84,,,,,,,,,,2.84,2.47,3.21,5.29,5.58,5.0,2.11,1.84,2.37,0.44,0.25,0.6,,,,602.87,599.37,606.37,,,,9.39,9.37,9.42,2.45,2.95,1.95,,,,,,,,,,,,,,,
Olympique de Marseille,38,21,8,9,71,63.0,38.0,25.0,19,9,19,12,47.4,63.2,62.18,65.16,59.21,,,,2.29,2.53,2.05,1.53,1.71,1.35,13.13,15.26,11.0,,,,,,,,,,2.08,2.56,1.63,5.71,6.11,5.32,1.7,1.37,2.06,0.33,0.29,0.5,,,,533.13,551.32,514.95,,,,9.13,9.32,8.95,1.58,1.68,1.47,,,,,,,,,,,,,,,
AS Monaco,38,20,9,9,69,65.0,40.0,25.0,19,12,19,8,63.2,42.1,54.05,56.63,51.47,,,,2.45,2.47,2.42,1.36,1.25,1.47,11.95,13.58,10.32,,,,,,,,,,2.79,2.58,3.0,5.79,7.05,4.53,2.33,2.11,2.56,0.8,0.75,1.0,,,,401.5,410.11,392.89,,,,13.05,13.58,12.53,2.47,2.84,2.11,,,,,,,,,,,,,,,
Nice,38,20,7,11,67,52.0,36.0,16.0,19,10,19,10,52.6,52.6,51.47,55.79,47.16,,,,2.47,2.56,2.39,1.59,1.69,1.5,11.89,13.63,10.16,,,,,,,,,,2.97,2.11,3.79,5.16,5.42,4.89,2.13,1.89,2.37,1.0,0.0,1.2,,,,398.05,443.32,352.79,,,,12.0,11.74,12.26,1.43,1.72,1.16,,,,,,,,,,,,,,,
Stade Rennais,38,20,6,12,66,82.0,40.0,42.0,19,14,19,6,73.7,31.6,56.34,59.26,53.42,,,,2.45,3.11,1.79,1.48,1.81,1.18,14.53,16.32,12.74,,,,,,,,,,1.79,1.37,2.21,5.84,6.21,5.47,1.47,1.26,1.68,0.5,0.33,1.0,,,,434.24,467.21,401.26,,,,11.42,11.11,11.74,1.64,1.65,1.63,,,,,,,,,,,,,,,
RC Strasbourg,38,17,12,9,63,60.0,43.0,17.0,19,11,19,6,57.9,31.6,49.26,51.79,46.74,,,,2.58,2.72,2.44,1.6,1.65,1.56,12.58,13.42,11.74,,,,,,,,,,2.37,2.16,2.58,4.74,5.05,4.42,1.89,2.05,1.74,0.43,0.25,0.67,,,,356.5,378.42,334.58,,,,13.08,13.47,12.68,1.65,1.32,2.0,,,,,,,,,,,,,,,
Olympique Lyonnais,38,17,11,10,62,66.0,51.0,15.0,19,11,19,6,57.9,31.6,58.79,59.42,58.16,,,,3.0,3.42,2.58,1.97,2.17,1.78,14.58,15.32,13.84,,,,,,,,,,3.32,3.05,3.58,4.95,5.63,4.26,1.86,1.53,2.17,1.0,1.0,1.0,,,,493.05,514.21,471.89,,,,11.47,10.32,12.63,1.68,1.89,1.47,,,,,,,,,,,,,,,
RC Lens,38,17,11,10,62,62.0,48.0,14.0,19,9,19,8,47.4,42.1,50.76,52.32,49.21,,,,2.05,1.95,2.17,1.41,1.16,1.73,13.58,15.47,11.68,,,,,,,,,,2.55,2.74,2.37,5.61,6.11,5.11,1.92,1.63,2.21,0.64,0.75,0.57,,,,410.32,426.68,393.95,,,,11.08,10.42,11.74,1.66,1.61,1.71,,,,,,,,,,,,,,,
Lille,38,14,13,11,55,48.0,48.0,0.0,19,7,19,7,36.8,36.8,50.76,51.95,49.58,,,,2.4,2.67,2.12,1.71,1.94,1.43,12.26,12.89,11.63,,,,,,,,,,2.82,2.37,3.26,5.29,5.68,4.89,2.68,2.22,3.11,0.46,0.29,0.67,,,,369.42,384.53,354.32,,,,11.74,12.26,11.21,2.41,2.78,2.05,,,,,,,,,,,,,,,
Nantes,38,15,10,13,55,55.0,48.0,7.0,19,11,19,4,57.9,21.1,43.61,44.79,42.42,,,,1.81,2.37,1.22,1.14,1.56,0.72,11.18,13.0,9.37,,,,,,,,,,2.89,2.95,2.84,5.21,6.0,4.42,2.16,2.0,2.33,0.33,0.33,0.33,,,,304.08,316.21,291.95,,,,13.16,12.84,13.47,1.45,1.26,1.63,,,,,,,,,,,,,,,
