team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Manchester City,38,28,5,5,89,94.0,33.0,61.0,19,17,19,11,89.5,57.9,65.05,65.53,64.58,2.12,2.31,1.93,3.47,3.89,3.05,2.06,2.12,2.0,15.79,16.68,14.89,,,,,,,,,,1.58,1.74,1.42,6.26,7.21,5.32,1.19,1.0,1.39,0.33,1.0,0.0,,,,588.47,596.05,580.89,,,,9.13,9.05,9.21,1.34,1.47,1.21,,,,,,,,,,,,,,,
Arsenal,38,26,6,6,84,88.0,43.0,45.0,19,14,19,12,73.7,63.2,59.76,62.42,57.11,1.94,2.32,1.56,2.61,2.89,2.32,1.39,1.28,1.5,15.61,18.63,12.58,,,,,,,,,,2.5,2.32,2.68,5.87,7.0,4.74,1.41,0.94,1.84,0.0,0.0,,,,,459.32,484.0,434.63,,,,9.82,9.63,10.0,1.51,1.67,1.37,,,,,,,,,,,,,,,
Manchester United,38,23,6,9,75,58.0,43.0,15.0,19,15,19,8,78.9,42.1,53.79,52.95,54.63,1.81,2.18,1.43,2.92,3.58,2.26,1.92,2.16,1.67,15.61,18.05,13.16,,,,,,,,,,2.66,2.26,3.05,5.16,5.95,4.37,2.17,1.94,2.39,1.0,1.0,,,,,413.45,410.89,416.0,,,,11.16,11.11,11.21,2.19,2.11,2.28,,,,,,,,,,,,,,,
Newcastle United,38,19,14,5,71,68.0,33.0,35.0,19,11,19,8,57.9,42.1,52.39,53.89,50.89,1.93,2.32,1.54,2.97,3.74,2.21,1.97,2.72,1.18,15.03,18.05,12.0,,,,,,,,,,2.55,2.26,2.84,7.11,8.16,6.05,1.77,1.72,1.82,0.33,1.0,0.0,,,,337.05,352.84,321.26,,,,10.68,10.95,10.42,1.97,1.61,2.33,,,,,,,,,,,,,,,
Liverpool,38,19,10,9,67,75.0,47.0,28.0,19,13,19,6,68.4,31.6,61.03,60.74,61.32,1.94,2.16,1.72,3.29,3.74,2.84,2.17,2.26,2.06,15.92,17.26,14.58,,,,,,,,,,3.0,2.63,3.37,6.18,6.79,5.58,1.73,1.65,1.81,0.5,1.0,0.0,,,,496.42,485.58,507.26,,,,10.66,10.63,10.68,2.33,2.06,2.61,,,,,,,,,,,,,,,
Brighton & Hove Albion,38,18,8,12,62,72.0,53.0,19.0,19,10,19,8,52.6,42.1,60.42,60.32,60.53,1.96,2.22,1.7,3.05,3.11,3.0,1.86,2.0,1.74,16.13,18.47,13.79,,,,,,,,,,2.24,2.11,2.37,6.13,7.53,4.74,1.55,1.68,1.42,0.0,,0.0,,,,480.87,484.79,476.95,,,,11.24,11.0,11.47,1.94,2.0,1.89,,,,,,,,,,,,,,,
Aston Villa,38,18,7,13,61,51.0,46.0,5.0,19,12,19,6,63.2,31.6,49.39,50.0,48.79,1.34,1.57,1.12,2.0,2.53,1.5,1.18,1.5,0.89,11.34,11.89,10.79,,,,,,,,,,2.87,2.16,3.58,4.29,4.74,3.84,2.16,2.06,2.26,0.25,0.0,0.33,,,,340.0,347.58,332.42,,,,10.97,10.05,11.89,1.53,1.32,1.74,,,,,,,,,,,,,,,
Tottenham Hotspur,38,18,6,14,60,70.0,63.0,7.0,19,12,19,6,63.2,31.6,49.95,51.05,48.84,1.52,1.66,1.38,2.05,2.37,1.74,1.24,1.69,0.83,13.63,15.21,12.05,,,,,,,,,,2.92,2.74,3.11,5.34,6.16,4.53,2.08,2.39,1.79,0.75,0.5,1.0,,,,395.95,403.16,388.74,,,,11.16,11.95,10.37,1.86,1.41,2.26,,,,,,,,,,,,,,,
Brentford,38,15,14,9,59,58.0,46.0,12.0,19,10,19,5,52.6,26.3,43.47,43.68,43.26,1.52,1.79,1.26,2.46,2.68,2.22,1.5,1.71,1.29,10.74,12.53,8.95,,,,,,,,,,4.05,3.58,4.53,4.29,4.89,3.68,1.58,1.67,1.5,0.5,0.5,,,,,273.84,270.79,276.89,,,,9.32,8.89,9.74,1.95,2.11,1.78,,,,,,,,,,,,,,,
Fulham,38,15,7,16,52,55.0,53.0,2.0,19,8,19,7,42.1,36.8,48.63,50.84,46.42,1.24,1.3,1.17,1.68,1.74,1.61,0.83,0.95,0.71,11.29,12.58,10.0,,,,,,,,,,3.84,4.0,3.68,4.79,5.53,4.05,2.16,1.42,2.94,0.2,0.33,0.0,,,,340.92,348.47,333.37,,,,10.82,10.16,11.47,1.58,1.89,1.26,,,,,,,,,,,,,,,
Crystal Palace,38,11,12,15,45,40.0,49.0,-9.0,19,7,19,4,36.8,21.1,46.13,46.89,45.37,1.05,1.09,1.02,1.41,1.44,1.37,0.75,0.71,0.8,11.21,12.21,10.21,,,,,,,,,,3.05,3.16,2.95,4.89,5.26,4.53,2.18,1.84,2.53,0.6,1.0,0.33,,,,327.63,334.05,321.21,,,,11.74,11.47,12.0,1.57,1.67,1.47,,,,,,,,,,,,,,,
Chelsea,38,11,11,16,44,38.0,47.0,-9.0,19,6,19,5,31.6,26.3,59.05,59.26,58.84,1.32,1.45,1.18,1.87,2.05,1.68,1.44,1.63,1.24,12.74,13.68,11.79,,,,,,,,,,3.05,2.79,3.32,5.5,6.16,4.84,2.31,2.35,2.28,0.75,1.0,0.67,,,,477.74,477.26,478.21,,,,10.45,10.32,10.58,2.06,2.21,1.88,,,,,,,,,,,,,,,
Wolverhampton,38,11,8,19,41,31.0,58.0,-27.0,19,9,19,2,47.4,10.5,50.18,48.58,51.79,1.0,1.12,0.87,1.14,1.56,0.72,0.88,1.27,0.53,10.84,11.16,10.53,,,,,,,,,,3.13,2.74,3.53,4.87,5.32,4.42,2.3,2.37,2.22,1.2,1.33,1.0,,,,357.63,334.26,381.0,,,,12.18,11.89,12.47,1.68,1.84,1.5,,,,,,,,,,,,,,,
West Ham United,38,11,7,20,40,42.0,55.0,-13.0,19,8,19,3,42.1,15.8,41.66,42.05,41.26,1.33,1.49,1.18,1.77,1.89,1.62,1.07,1.0,1.14,12.47,13.84,11.11,,,,,,,,,,3.08,2.68,3.47,5.42,5.53,5.32,1.26,1.12,1.39,,,,,,,301.18,310.0,292.37,,,,9.53,8.68,10.37,1.82,2.18,1.47,,,,,,,,,,,,,,,
Bournemouth,38,11,6,21,39,37.0,71.0,-34.0,19,6,19,5,31.6,26.3,40.13,41.0,39.26,1.04,1.2,0.87,1.35,1.58,1.11,0.84,1.0,0.64,9.42,10.42,8.42,,,,,,,,,,3.58,3.58,3.58,3.79,4.32,3.26,1.84,1.58,2.11,,,,,,,284.39,294.32,274.47,,,,10.29,10.68,9.89,1.06,1.16,0.94,,,,,,,,,,,,,,,
Nottingham Forest,38,9,11,18,38,38.0,68.0,-30.0,19,8,19,1,42.1,5.3,37.29,36.53,38.05,1.05,1.24,0.85,1.39,1.82,1.0,0.82,1.0,0.67,9.68,10.21,9.16,,,,,,,,,,3.11,2.63,3.61,3.37,2.63,4.11,2.27,2.58,1.94,,,,,,,230.29,229.89,230.68,,,,11.71,12.0,11.42,1.81,1.67,1.95,,,,,,,,,,,,,,,
Everton,38,8,12,18,36,34.0,57.0,-23.0,19,6,19,2,31.6,10.5,42.58,43.84,41.32,1.2,1.26,1.15,1.81,1.67,1.94,1.38,1.5,1.28,11.29,12.21,10.37,,,,,,,,,,3.37,3.0,3.74,4.61,5.32,3.89,2.25,2.06,2.44,1.0,1.0,1.0,,,,286.84,293.42,280.26,,,,10.42,9.79,11.05,1.78,1.53,2.06,,,,,,,,,,,,,,,
Leicester City,38,9,7,22,34,51.0,68.0,-17.0,19,5,19,4,26.3,21.1,47.66,48.05,47.26,1.35,1.14,1.55,1.97,1.58,2.37,1.36,1.24,1.47,11.0,11.11,10.89,,,,,,,,,,3.05,2.42,3.68,3.55,3.53,3.58,1.85,1.94,1.78,0.5,1.0,0.0,,,,366.89,373.68,360.11,,,,10.79,11.0,10.58,2.18,1.95,2.42,,,,,,,,,,,,,,,
Leeds United,38,7,10,21,31,48.0,78.0,-30.0,19,5,19,2,26.3,10.5,46.95,47.68,46.21,1.3,1.4,1.2,1.67,1.82,1.53,1.03,1.18,0.89,12.16,13.26,11.05,,,,,,,,,,2.89,2.37,3.42,5.24,5.84,4.63,2.37,2.21,2.53,0.6,0.67,0.5,,,,298.5,309.58,287.42,,,,12.29,12.37,12.21,1.67,1.89,1.44,,,,,,,,,,,,,,,
Southampton,38,6,7,25,25,36.0,73.0,-37.0,19,2,19,4,10.5,21.1,44.47,44.58,44.37,1.01,1.09,0.93,1.44,1.44,1.44,0.91,0.88,0.94,10.97,12.0,9.95,,,,,,,,,,2.24,1.94,2.53,4.13,4.63,3.63,1.92,1.37,2.47,0.0,0.0,0.0,,,,301.16,293.26,309.05,,,,11.32,10.53,12.11,1.54,1.83,1.26,,,,,,,,,,,,,,,
