team,played,wins,draws,losses,points,goals_scored,goals_conceded,goal_difference,home_played,home_wins,away_played,away_wins,home_win_rate,away_win_rate,avg_ballPossession,home_avg_ballPossession,away_avg_ballPossession,avg_expectedGoals,home_avg_expectedGoals,away_avg_expectedGoals,avg_bigChanceCreated,home_avg_bigChanceCreated,away_avg_bigChanceCreated,avg_bigChanceMissed,home_avg_bigChanceMissed,away_avg_bigChanceMissed,avg_totalShotsOnGoal,home_avg_totalShotsOnGoal,away_avg_totalShotsOnGoal,avg_shotsOnTarget,home_avg_shotsOnTarget,away_avg_shotsOnTarget,avg_shotsOffTarget,home_avg_shotsOffTarget,away_avg_shotsOffTarget,avg_blockedShots,home_avg_blockedShots,away_avg_blockedShots,avg_goalkeeperSaves,home_avg_goalkeeperSaves,away_avg_goalkeeperSaves,avg_cornerKicks,home_avg_cornerKicks,away_avg_cornerKicks,avg_yellowCards,home_avg_yellowCards,away_avg_yellowCards,avg_redCards,home_avg_redCards,away_avg_redCards,avg_totalPasses,home_avg_totalPasses,away_avg_totalPasses,avg_accuratePasses,home_avg_accuratePasses,away_avg_accuratePasses,avg_accuratePassesPercentage,home_avg_accuratePassesPercentage,away_avg_accuratePassesPercentage,avg_fouls,home_avg_fouls,away_avg_fouls,avg_offsides,home_avg_offsides,away_avg_offsides,avg_dribbles,home_avg_dribbles,away_avg_dribbles,avg_successfulDribbles,home_avg_successfulDribbles,away_avg_successfulDribbles,avg_tackles,home_avg_tackles,away_avg_tackles,avg_totalDuels,home_avg_totalDuels,away_avg_totalDuels,avg_totalDuelsWon,home_avg_totalDuelsWon,away_avg_totalDuelsWon
Napoli,38,24,10,4,82,59.0,27.0,32.0,19,14,19,10,73.7,52.6,54.58,56.53,52.63,1.41,1.73,1.1,2.26,2.68,1.75,1.3,1.56,1.0,13.26,16.32,10.21,,,,,,,,,,1.92,1.33,2.47,5.5,6.84,4.16,1.3,1.22,1.37,0.0,0.0,,,,,419.79,452.32,387.26,,,,10.92,10.26,11.58,1.49,1.11,1.84,,,,,,,,,,,,,,,
Inter,38,24,9,5,81,79.0,35.0,44.0,19,13,19,11,68.4,57.9,59.74,60.79,58.68,1.8,1.81,1.79,3.32,3.58,3.05,1.84,2.11,1.58,15.11,16.53,13.68,,,,,,,,,,2.55,2.37,2.74,5.82,7.0,4.63,1.6,1.29,1.89,0.25,0.0,0.33,,,,486.24,493.47,479.0,,,,10.97,10.58,11.37,2.43,2.17,2.68,,,,,,,,,,,,,,,
Atalanta,38,22,8,8,74,78.0,37.0,41.0,19,9,19,13,47.4,68.4,55.29,57.79,52.79,1.76,1.61,1.91,3.3,3.17,3.42,2.31,2.5,2.16,14.34,14.79,13.89,,,,,,,,,,3.0,2.74,3.26,5.11,5.68,4.53,1.83,1.5,2.17,0.5,1.0,0.0,,,,431.53,457.32,405.74,,,,11.45,10.89,12.0,1.54,1.29,1.78,,,,,,,,,,,,,,,
Juventus,38,18,16,4,70,58.0,35.0,23.0,19,11,19,7,57.9,36.8,57.55,59.32,55.79,1.35,1.44,1.27,2.37,2.71,2.06,1.76,2.0,1.53,13.55,15.58,11.53,,,,,,,,,,2.24,1.84,2.63,5.0,5.84,4.16,1.76,1.63,1.89,0.6,0.5,1.0,,,,457.16,468.74,445.58,,,,12.63,12.53,12.74,1.62,1.5,1.79,,,,,,,,,,,,,,,
Roma,38,20,9,9,69,56.0,35.0,21.0,19,13,19,7,68.4,36.8,53.95,54.68,53.21,1.41,1.49,1.33,2.46,2.41,2.5,1.71,1.47,1.94,13.71,14.53,12.89,,,,,,,,,,3.11,3.05,3.16,4.47,4.37,4.58,1.78,1.53,2.06,0.14,0.0,0.33,,,,423.53,448.16,398.89,,,,10.68,10.0,11.37,1.69,1.19,2.11,,,,,,,,,,,,,,,
Lazio,38,18,11,9,65,61.0,49.0,12.0,19,7,19,11,36.8,57.9,55.11,56.58,53.63,1.52,1.58,1.46,2.63,3.05,2.21,1.59,1.94,1.26,14.08,15.26,12.89,,,,,,,,,,1.92,1.53,2.32,6.03,6.32,5.74,2.57,2.47,2.67,0.47,0.33,0.56,,,,406.76,415.0,398.53,,,,11.18,11.0,11.37,1.21,1.32,1.11,,,,,,,,,,,,,,,
Fiorentina,38,19,8,11,65,60.0,41.0,19.0,19,12,19,7,63.2,36.8,50.5,47.79,53.21,1.3,1.41,1.19,2.22,2.33,2.11,1.53,1.35,1.71,11.76,11.63,11.89,,,,,,,,,,2.87,2.53,3.21,3.89,4.05,3.74,2.16,2.0,2.32,0.27,0.0,0.5,,,,352.13,322.21,382.05,,,,11.58,11.95,11.21,2.32,2.58,2.05,,,,,,,,,,,,,,,
Milan,38,18,9,11,63,61.0,43.0,18.0,19,9,19,9,47.4,47.4,54.08,54.11,54.05,1.67,1.59,1.76,2.71,2.37,3.05,1.63,1.37,1.89,14.82,15.63,14.0,,,,,,,,,,2.71,2.84,2.58,5.71,6.0,5.42,1.89,1.79,2.0,0.75,0.6,1.0,,,,407.84,412.37,403.32,,,,10.92,10.53,11.32,1.67,1.67,1.67,,,,,,,,,,,,,,,
Bologna,38,16,14,8,62,57.0,47.0,10.0,19,10,19,6,52.6,31.6,58.58,59.79,57.37,1.31,1.62,1.0,2.18,3.16,1.21,1.46,2.0,0.88,13.47,15.53,11.42,,,,,,,,,,1.66,1.42,1.89,5.03,6.53,3.53,1.68,1.68,1.67,0.57,0.5,0.67,,,,386.53,388.26,384.79,,,,14.13,13.47,14.79,1.75,1.84,1.65,,,,,,,,,,,,,,,
Como,38,13,10,15,49,49.0,52.0,-3.0,19,8,19,5,42.1,26.3,54.79,53.95,55.63,1.19,1.34,1.04,1.76,2.0,1.53,1.19,1.33,1.06,13.71,14.74,12.68,,,,,,,,,,2.47,2.16,2.79,4.39,5.0,3.79,2.29,2.05,2.53,0.7,0.67,0.75,,,,394.61,388.42,400.79,,,,13.24,12.79,13.68,1.81,1.72,1.89,,,,,,,,,,,,,,,
Udinese,38,12,8,18,44,41.0,56.0,-15.0,19,7,19,5,36.8,26.3,47.24,46.89,47.58,1.05,1.08,1.02,1.49,1.58,1.39,1.1,1.13,1.06,11.42,11.95,10.89,,,,,,,,,,3.0,3.0,3.0,4.68,4.84,4.53,2.38,2.17,2.58,0.56,0.75,0.4,,,,318.37,319.21,317.53,,,,14.29,14.79,13.79,1.32,1.16,1.47,,,,,,,,,,,,,,,
Torino,38,10,14,14,44,39.0,45.0,-6.0,19,6,19,4,31.6,21.1,47.45,48.79,46.11,0.93,0.96,0.9,1.64,1.67,1.61,1.25,1.41,1.07,10.18,10.95,9.42,,,,,,,,,,3.86,4.05,3.65,4.16,4.58,3.74,2.11,1.68,2.53,0.6,1.0,0.5,,,,332.71,339.05,326.37,,,,12.71,12.32,13.11,1.54,2.0,1.11,,,,,,,,,,,,,,,
Genoa,38,10,13,15,43,37.0,49.0,-12.0,19,5,19,5,26.3,26.3,45.61,46.42,44.79,0.99,1.12,0.87,1.49,1.58,1.39,0.97,1.06,0.89,10.13,11.63,8.63,,,,,,,,,,3.14,3.0,3.26,4.08,4.63,3.53,1.97,1.94,2.0,0.5,1.0,0.0,,,,293.66,288.47,298.84,,,,13.08,12.58,13.58,1.53,1.59,1.47,,,,,,,,,,,,,,,
Hellas Verona,38,10,7,21,37,34.0,66.0,-32.0,19,4,19,6,21.1,31.6,38.47,40.74,36.21,0.92,1.05,0.79,1.51,1.72,1.32,0.94,1.11,0.78,9.87,10.95,8.79,,,,,,,,,,2.95,2.5,3.37,4.0,4.79,3.21,2.65,2.58,2.72,0.91,1.0,0.8,,,,239.79,259.74,219.84,,,,15.24,14.05,16.42,1.57,1.33,1.82,,,,,,,,,,,,,,,
Cagliari,38,9,9,20,36,40.0,56.0,-16.0,19,6,19,3,31.6,15.8,44.76,45.58,43.95,1.13,1.26,0.99,2.27,2.63,1.89,1.82,2.11,1.5,11.16,13.63,8.68,,,,,,,,,,2.61,2.16,3.05,4.76,5.74,3.79,1.92,1.41,2.37,0.43,0.0,0.5,,,,292.26,293.58,290.95,,,,13.16,12.89,13.42,1.76,1.95,1.56,,,,,,,,,,,,,,,
Parma,38,7,15,16,36,44.0,58.0,-14.0,19,5,19,2,26.3,10.5,44.13,43.37,44.89,1.18,1.43,0.94,1.76,2.22,1.32,1.24,1.56,0.94,11.18,11.63,10.74,,,,,,,,,,2.74,2.58,2.89,4.42,4.05,4.79,2.05,2.11,2.0,0.75,0.5,1.0,,,,310.34,296.84,323.84,,,,10.66,11.16,10.16,0.82,0.68,0.95,,,,,,,,,,,,,,,
Lecce,38,8,10,20,34,27.0,58.0,-31.0,19,4,19,4,21.1,21.1,43.55,44.95,42.16,0.92,0.98,0.85,1.24,1.26,1.21,0.86,0.95,0.78,11.95,13.05,10.84,,,,,,,,,,3.39,3.11,3.68,4.34,5.16,3.53,1.61,1.21,2.0,0.88,0.8,1.0,,,,279.68,283.32,276.05,,,,12.26,11.68,12.84,1.37,1.74,1.0,,,,,,,,,,,,,,,
Empoli,38,6,13,19,31,33.0,59.0,-26.0,19,2,19,4,10.5,21.1,41.29,43.16,39.42,0.86,0.63,1.08,1.43,0.89,1.95,1.0,0.69,1.28,9.74,9.21,10.26,,,,,,,,,,2.76,2.47,3.06,4.47,4.42,4.53,2.0,1.56,2.47,0.78,0.67,1.0,,,,241.76,248.37,235.16,,,,15.0,13.68,16.32,1.63,1.78,1.47,,,,,,,,,,,,,,,
Venezia,38,5,14,19,29,32.0,56.0,-24.0,19,5,19,0,26.3,0.0,44.82,46.16,43.47,0.99,1.14,0.83,1.79,1.89,1.68,1.48,1.44,1.53,10.16,11.05,9.26,,,,,,,,,,3.7,3.21,4.22,3.76,4.0,3.53,1.97,1.95,2.0,0.5,0.5,0.5,,,,281.45,296.32,266.58,,,,13.24,13.21,13.26,1.57,1.78,1.37,,,,,,,,,,,,,,,
Monza,38,3,9,26,18,28.0,69.0,-41.0,19,1,19,2,5.3,10.5,48.53,49.95,47.11,0.81,0.88,0.75,1.16,1.11,1.22,0.69,0.76,0.61,8.84,10.53,7.16,,,,,,,,,,3.19,3.39,3.0,3.58,3.74,3.42,2.34,2.16,2.53,0.6,1.0,0.33,,,,352.47,372.42,332.53,,,,13.45,13.74,13.16,1.64,1.59,1.69,,,,,,,,,,,,,,,
