match_id,season,matchday,date,status,stage,home_team,home_team_short,home_team_tla,away_team,away_team_short,away_team_tla,home_goals_ft,away_goals_ft,home_goals_ht,away_goals_ht,result,duration,referee
502371,2024,1,2024-08-23,FINISHED,REGULAR_SEASON,Borussia Mönchengladbach,M'gladbach,BMG,Bayer 04 Leverkusen,Leverkusen,B04,2,3,0,2,AWAY_TEAM,REGULAR,Robert Schröder
502372,2024,1,2024-08-24,FINISHED,REGULAR_SEASON,RB Leipzig,RB Leipzig,RBL,VfL Bochum 1848,Bochum,BOC,1,0,0,0,HOME_TEAM,REGULAR,Benjamin Brand
502374,2024,1,2024-08-24,FINISHED,REGULAR_SEASON,TSG 1899 Hoffenheim,Hoffenheim,TSG,Holstein Kiel,Holstein Kiel,KSV,3,2,2,0,HOME_TEAM,REGULAR,Tobias Stieler
502375,2024,1,2024-08-24,FINISHED,REGULAR_SEASON,SC Freiburg,Freiburg,SCF,VfB Stuttgart,Stuttgart,VFB,3,1,1,1,HOME_TEAM,REGULAR,Tobias Welz
502376,2024,1,2024-08-24,FINISHED,REGULAR_SEASON,FC Augsburg,Augsburg,FCA,SV Werder Bremen,Bremen,SVW,2,2,2,1,DRAW,REGULAR,Sascha Stegemann
502378,2024,1,2024-08-24,FINISHED,REGULAR_SEASON,1. FSV Mainz 05,Mainz,M05,1. FC Union Berlin,Union Berlin,UNB,1,1,0,0,DRAW,REGULAR,Harm Osmers
502373,2024,1,2024-08-24,FINISHED,REGULAR_SEASON,Borussia Dortmund,Dortmund,BVB,Eintracht Frankfurt,Frankfurt,SGE,2,0,0,0,HOME_TEAM,REGULAR,Felix Zwayer
502377,2024,1,2024-08-25,FINISHED,REGULAR_SEASON,VfL Wolfsburg,Wolfsburg,WOB,FC Bayern München,Bayern,FCB,2,3,0,1,AWAY_TEAM,REGULAR,Daniel Siebert
502379,2024,1,2024-08-25,FINISHED,REGULAR_SEASON,FC St. Pauli 1910,St. Pauli,STP,1. FC Heidenheim 1846,Heidenheim,HEI,0,2,0,0,AWAY_TEAM,REGULAR,Sven Jablonski
502386,2024,2,2024-08-30,FINISHED,REGULAR_SEASON,1. FC Union Berlin,Union Berlin,UNB,FC St. Pauli 1910,St. Pauli,STP,1,0,1,0,HOME_TEAM,REGULAR,Bastian Dankert
502381,2024,2,2024-08-31,FINISHED,REGULAR_SEASON,VfB Stuttgart,Stuttgart,VFB,1. FSV Mainz 05,Mainz,M05,3,3,2,1,DRAW,REGULAR,Timo Gerach
502383,2024,2,2024-08-31,FINISHED,REGULAR_SEASON,Eintracht Frankfurt,Frankfurt,SGE,TSG 1899 Hoffenheim,Hoffenheim,TSG,3,1,2,0,HOME_TEAM,REGULAR,Florian Badstübner
502385,2024,2,2024-08-31,FINISHED,REGULAR_SEASON,SV Werder Bremen,Bremen,SVW,Borussia Dortmund,Dortmund,BVB,0,0,0,0,DRAW,REGULAR,Robert Hartmann
502387,2024,2,2024-08-31,FINISHED,REGULAR_SEASON,VfL Bochum 1848,Bochum,BOC,Borussia Mönchengladbach,M'gladbach,BMG,0,2,0,0,AWAY_TEAM,REGULAR,Sören Storks
502388,2024,2,2024-08-31,FINISHED,REGULAR_SEASON,Holstein Kiel,Holstein Kiel,KSV,VfL Wolfsburg,Wolfsburg,WOB,0,2,0,2,AWAY_TEAM,REGULAR,Florian Exner
502380,2024,2,2024-08-31,FINISHED,REGULAR_SEASON,Bayer 04 Leverkusen,Leverkusen,B04,RB Leipzig,RB Leipzig,RBL,2,3,2,1,AWAY_TEAM,REGULAR,Matthias Jöllenbeck
