match_id,season,matchday,date,status,home_team,home_team_short,home_team_tla,away_team,away_team_short,away_team_tla,home_goals_ft,away_goals_ft,home_goals_ht,away_goals_ht,result,referee
540406,2025,1,2025-08-22,FINISHED,FC Bayern München,Bayern,FCB,RB Leipzig,RB Leipzig,RBL,6,0,3,0,HOME_TEAM,Florian Badstübner
540407,2025,1,2025-08-23,FINISHED,Eintracht Frankfurt,Frankfurt,SGE,SV Werder Bremen,Bremen,SVW,4,1,2,0,HOME_TEAM,Harm Osmers
540408,2025,1,2025-08-23,FINISHED,Bayer 04 Leverkusen,Leverkusen,B04,TSG 1899 Hoffenheim,Hoffenheim,TSG,1,2,1,1,AWAY_TEAM,Daniel Siebert
540409,2025,1,2025-08-23,FINISHED,SC Freiburg,Freiburg,SCF,FC Augsburg,Augsburg,FCA,1,3,0,3,AWAY_TEAM,Felix Zwayer
540412,2025,1,2025-08-23,FINISHED,1. FC Union Berlin,Union Berlin,UNB,VfB Stuttgart,Stuttgart,VFB,2,1,2,0,HOME_TEAM,Robert Hartmann
540414,2025,1,2025-08-23,FINISHED,1. FC Heidenheim 1846,Heidenheim,HEI,VfL Wolfsburg,Wolfsburg,WOB,1,3,1,1,AWAY_TEAM,Benjamin Brand
540413,2025,1,2025-08-23,FINISHED,FC St. Pauli 1910,St. Pauli,STP,Borussia Dortmund,Dortmund,BVB,3,3,0,1,DRAW,Matthias Jöllenbeck
540410,2025,1,2025-08-24,FINISHED,1. FSV Mainz 05,Mainz,M05,1. FC Köln,1. FC Köln,KOE,0,1,0,0,AWAY_TEAM,Tobias Stieler
540411,2025,1,2025-08-24,FINISHED,Borussia Mönchengladbach,M'gladbach,BMG,Hamburger SV,HSV,HSV,0,0,0,0,DRAW,Sascha Stegemann
540423,2025,2,2025-08-29,FINISHED,Hamburger SV,HSV,HSV,FC St. Pauli 1910,St. Pauli,STP,0,2,0,1,AWAY_TEAM,Christian Dingert
540416,2025,2,2025-08-30,FINISHED,RB Leipzig,RB Leipzig,RBL,1. FC Heidenheim 1846,Heidenheim,HEI,2,0,0,0,HOME_TEAM,Frank Willenborg
540417,2025,2,2025-08-30,FINISHED,SV Werder Bremen,Bremen,SVW,Bayer 04 Leverkusen,Leverkusen,B04,3,3,1,2,DRAW,Robin Braun
540418,2025,2,2025-08-30,FINISHED,VfB Stuttgart,Stuttgart,VFB,Borussia Mönchengladbach,M'gladbach,BMG,1,0,0,0,HOME_TEAM,Sven Jablonski
540421,2025,2,2025-08-30,FINISHED,TSG 1899 Hoffenheim,Hoffenheim,TSG,Eintracht Frankfurt,Frankfurt,SGE,1,3,0,2,AWAY_TEAM,Timo Gerach
540420,2025,2,2025-08-30,FINISHED,FC Augsburg,Augsburg,FCA,FC Bayern München,Bayern,FCB,2,3,0,2,AWAY_TEAM,Florian Exner
540419,2025,2,2025-08-31,FINISHED,VfL Wolfsburg,Wolfsburg,WOB,1. FSV Mainz 05,Mainz,M05,1,1,1,0,DRAW,Sören Storks
540415,2025,2,2025-08-31,FINISHED,Borussia Dortmund,Dortmund,BVB,1. FC Union Berlin,Union Berlin,UNB,3,0,1,0,HOME_TEAM,Daniel Schlager
540422,2025,2,2025-08-31,FINISHED,1. FC Köln,1. FC Köln,KOE,SC Freiburg,Freiburg,SCF,4,1,1,0,HOME_TEAM,Tobias Reichel
540425,2025,3,2025-09-12,FINISHED,Bayer 04 Leverkusen,Leverkusen,B04,Eintracht Frankfurt,Frankfurt,SGE,3,1,2,0,HOME_TEAM,Deniz Aytekin
540426,2025,3,2025-09-13,FINISHED,SC Freiburg,Freiburg,SCF,VfB Stuttgart,Stuttgart,VFB,3,1,0,1,HOME_TEAM,Daniel Siebert
540427,2025,3,2025-09-13,FINISHED,1. FSV Mainz 05,Mainz,M05,RB Leipzig,RB Leipzig,RBL,0,1,0,1,AWAY_TEAM,Sven Jablonski
540429,2025,3,2025-09-13,FINISHED,VfL Wolfsburg,Wolfsburg,WOB,1. FC Köln,1. FC Köln,KOE,3,3,1,1,DRAW,Bastian Dankert
540430,2025,3,2025-09-13,FINISHED,1. FC Union Berlin,Union Berlin,UNB,TSG 1899 Hoffenheim,Hoffenheim,TSG,2,4,0,2,AWAY_TEAM,Tobias Welz
540432,2025,3,2025-09-13,FINISHED,1. FC Heidenheim 1846,Heidenheim,HEI,Borussia Dortmund,Dortmund,BVB,0,2,0,2,AWAY_TEAM,Felix Zwayer
540424,2025,3,2025-09-13,FINISHED,FC Bayern München,Bayern,FCB,Hamburger SV,HSV,HSV,5,0,4,0,HOME_TEAM,Tobias Stieler
540431,2025,3,2025-09-14,FINISHED,FC St. Pauli 1910,St. Pauli,STP,FC Augsburg,Augsburg,FCA,2,1,1,1,HOME_TEAM,Harm Osmers
540428,2025,3,2025-09-14,FINISHED,Borussia Mönchengladbach,M'gladbach,BMG,SV Werder Bremen,Bremen,SVW,0,4,0,2,AWAY_TEAM,Matthias Jöllenbeck
540438,2025,4,2025-09-19,FINISHED,VfB Stuttgart,Stuttgart,VFB,FC St. Pauli 1910,St. Pauli,STP,2,0,1,0,HOME_TEAM,Sascha Stegemann
540437,2025,4,2025-09-20,FINISHED,SV Werder Bremen,Bremen,SVW,SC Freiburg,Freiburg,SCF,0,3,0,1,AWAY_TEAM,Timo Gerach
540439,2025,4,2025-09-20,FINISHED,FC Augsburg,Augsburg,FCA,1. FSV Mainz 05,Mainz,M05,1,4,0,2,AWAY_TEAM,Daniel Schlager
540440,2025,4,2025-09-20,FINISHED,TSG 1899 Hoffenheim,Hoffenheim,TSG,FC Bayern München,Bayern,FCB,1,4,0,1,AWAY_TEAM,Robert Hartmann
540441,2025,4,2025-09-20,FINISHED,Hamburger SV,HSV,HSV,1. FC Heidenheim 1846,Heidenheim,HEI,2,1,1,0,HOME_TEAM,Florian Exner
540436,2025,4,2025-09-20,FINISHED,RB Leipzig,RB Leipzig,RBL,1. FC Köln,1. FC Köln,KOE,3,1,3,1,HOME_TEAM,Benjamin Brand
540434,2025,4,2025-09-21,FINISHED,Eintracht Frankfurt,Frankfurt,SGE,1. FC Union Berlin,Union Berlin,UNB,3,4,1,2,AWAY_TEAM,Sven Jablonski
540433,2025,4,2025-09-21,FINISHED,Bayer 04 Leverkusen,Leverkusen,B04,Borussia Mönchengladbach,M'gladbach,BMG,1,1,0,0,DRAW,Felix Zwayer
540435,2025,4,2025-09-21,FINISHED,Borussia Dortmund,Dortmund,BVB,VfL Wolfsburg,Wolfsburg,WOB,1,0,1,0,HOME_TEAM,Daniel Siebert
540442,2025,5,2025-09-26,FINISHED,FC Bayern München,Bayern,FCB,SV Werder Bremen,Bremen,SVW,4,0,2,0,HOME_TEAM,Frank Willenborg
540444,2025,5,2025-09-27,FINISHED,1. FSV Mainz 05,Mainz,M05,Borussia Dortmund,Dortmund,BVB,0,2,0,2,AWAY_TEAM,Tobias Reichel
540446,2025,5,2025-09-27,FINISHED,VfL Wolfsburg,Wolfsburg,WOB,RB Leipzig,RB Leipzig,RBL,0,1,0,1,AWAY_TEAM,Robin Braun
540448,2025,5,2025-09-27,FINISHED,FC St. Pauli 1910,St. Pauli,STP,Bayer 04 Leverkusen,Leverkusen,B04,1,2,1,1,AWAY_TEAM,Martin Petersen
540449,2025,5,2025-09-27,FINISHED,1. FC Heidenheim 1846,Heidenheim,HEI,FC Augsburg,Augsburg,FCA,2,1,0,0,HOME_TEAM,Tobias Welz
540445,2025,5,2025-09-27,FINISHED,Borussia Mönchengladbach,M'gladbach,BMG,Eintracht Frankfurt,Frankfurt,SGE,4,6,0,5,AWAY_TEAM,Sören Storks
540443,2025,5,2025-09-28,FINISHED,SC Freiburg,Freiburg,SCF,TSG 1899 Hoffenheim,Hoffenheim,TSG,1,1,1,1,DRAW,Bastian Dankert
540450,2025,5,2025-09-28,FINISHED,1. FC Köln,1. FC Köln,KOE,VfB Stuttgart,Stuttgart,VFB,1,2,1,1,AWAY_TEAM,Matthias Jöllenbeck
540447,2025,5,2025-09-28,FINISHED,1. FC Union Berlin,Union Berlin,UNB,Hamburger SV,HSV,HSV,0,0,0,0,DRAW,Deniz Aytekin
540458,2025,6,2025-10-03,FINISHED,TSG 1899 Hoffenheim,Hoffenheim,TSG,1. FC Köln,1. FC Köln,KOE,0,1,0,1,AWAY_TEAM,Felix Zwayer
540451,2025,6,2025-10-04,FINISHED,Bayer 04 Leverkusen,Leverkusen,B04,1. FC Union Berlin,Union Berlin,UNB,2,0,1,0,HOME_TEAM,Christian Dingert
540453,2025,6,2025-10-04,FINISHED,Borussia Dortmund,Dortmund,BVB,RB Leipzig,RB Leipzig,RBL,1,1,1,1,DRAW,Sascha Stegemann
540454,2025,6,2025-10-04,FINISHED,SV Werder Bremen,Bremen,SVW,FC St. Pauli 1910,St. Pauli,STP,1,0,1,0,HOME_TEAM,Sören Storks
540457,2025,6,2025-10-04,FINISHED,FC Augsburg,Augsburg,FCA,VfL Wolfsburg,Wolfsburg,WOB,3,1,1,0,HOME_TEAM,Benjamin Brand
540452,2025,6,2025-10-04,FINISHED,Eintracht Frankfurt,Frankfurt,SGE,FC Bayern München,Bayern,FCB,0,3,0,2,AWAY_TEAM,Daniel Siebert
540455,2025,6,2025-10-05,FINISHED,VfB Stuttgart,Stuttgart,VFB,1. FC Heidenheim 1846,Heidenheim,HEI,1,0,0,0,HOME_TEAM,Tobias Stieler
540459,2025,6,2025-10-05,FINISHED,Hamburger SV,HSV,HSV,1. FSV Mainz 05,Mainz,M05,4,0,2,0,HOME_TEAM,Robert Hartmann
540456,2025,6,2025-10-05,FINISHED,Borussia Mönchengladbach,M'gladbach,BMG,SC Freiburg,Freiburg,SCF,0,0,0,0,DRAW,Daniel Schlager
540465,2025,7,2025-10-17,FINISHED,1. FC Union Berlin,Union Berlin,UNB,Borussia Mönchengladbach,M'gladbach,BMG,3,1,2,1,HOME_TEAM,Tobias Reichel
540462,2025,7,2025-10-18,FINISHED,1. FSV Mainz 05,Mainz,M05,Bayer 04 Leverkusen,Leverkusen,B04,3,4,1,3,AWAY_TEAM,Florian Exner
540463,2025,7,2025-10-18,FINISHED,RB Leipzig,RB Leipzig,RBL,Hamburger SV,HSV,HSV,2,1,1,0,HOME_TEAM,Tobias Welz
540464,2025,7,2025-10-18,FINISHED,VfL Wolfsburg,Wolfsburg,WOB,VfB Stuttgart,Stuttgart,VFB,0,3,0,1,AWAY_TEAM,Florian Badstübner
540467,2025,7,2025-10-18,FINISHED,1. FC Heidenheim 1846,Heidenheim,HEI,SV Werder Bremen,Bremen,SVW,2,2,0,0,DRAW,Patrick Ittrich
540468,2025,7,2025-10-18,FINISHED,1. FC Köln,1. FC Köln,KOE,FC Augsburg,Augsburg,FCA,1,1,0,0,DRAW,Timo Gerach
540460,2025,7,2025-10-18,FINISHED,FC Bayern München,Bayern,FCB,Borussia Dortmund,Dortmund,BVB,2,1,1,0,HOME_TEAM,Bastian Dankert
540461,2025,7,2025-10-19,FINISHED,SC Freiburg,Freiburg,SCF,Eintracht Frankfurt,Frankfurt,SGE,2,2,1,2,DRAW,Deniz Aytekin
540466,2025,7,2025-10-19,FINISHED,FC St. Pauli 1910,St. Pauli,STP,TSG 1899 Hoffenheim,Hoffenheim,TSG,0,3,0,0,AWAY_TEAM,Sven Jablonski
