match_id,season,matchday,date,status,home_team,home_team_short,home_team_tla,away_team,away_team_short,away_team_tla,home_goals_ft,away_goals_ft,home_goals_ht,away_goals_ht,result,referee
441482,2023,1,2023-08-11,FINISHED,FC Volendam,Volendam,VOL,SBV Vitesse,Vitesse,VIT,1,2,1,0,AWAY_TEAM,Dennis Higler
441483,2023,1,2023-08-12,FINISHED,PSV,PSV,PSV,FC Utrecht,Utrecht,UTR,2,0,1,0,HOME_TEAM,Serdar Gözübüyük
441484,2023,1,2023-08-12,FINISHED,SC Heerenveen,Heerenveen,HEE,RKC Waalwijk,RKC,RKC,3,1,3,0,HOME_TEAM,Marc Nagtegaal
441485,2023,1,2023-08-12,FINISHED,AFC Ajax,Ajax,AJA,Heracles Almelo,Heracles,HER,4,1,1,1,HOME_TEAM,Jeroen Manschot
441486,2023,1,2023-08-12,FINISHED,PEC Zwolle,Zwolle,ZWO,Sparta Rotterdam,Sparta,SPA,1,2,0,1,AWAY_TEAM,Joey Kooij
441487,2023,1,2023-08-13,FINISHED,NEC,NEC,NEC,SBV Excelsior,Excelsior,EXC,3,4,2,1,AWAY_TEAM,Allard Lindhout
441488,2023,1,2023-08-13,FINISHED,Feyenoord Rotterdam,Feyenoord,FEY,Fortuna Sittard,Sittard,SIT,0,0,0,0,DRAW,Rob Dieperink
441489,2023,1,2023-08-13,FINISHED,AZ,AZ,AZ,Go Ahead Eagles,Go Ahead,GOA,5,1,2,0,HOME_TEAM,Danny Makkelie
441490,2023,1,2023-08-13,FINISHED,Almere City FC,Almere City,ALM,FC Twente '65,Twente,TWE,1,4,0,0,AWAY_TEAM,Sander Van der Eijk
441491,2023,2,2023-08-18,FINISHED,Heracles Almelo,Heracles,HER,NEC,NEC,NEC,2,1,0,1,HOME_TEAM,Erwin Blank
441495,2023,2,2023-08-19,FINISHED,SBV Excelsior,Excelsior,EXC,AFC Ajax,Ajax,AJA,2,2,1,1,DRAW,Dennis Higler
441493,2023,2,2023-08-19,FINISHED,SBV Vitesse,Vitesse,VIT,PSV,PSV,PSV,1,3,1,0,AWAY_TEAM,Bas Nijhuis
441494,2023,2,2023-08-19,FINISHED,Fortuna Sittard,Sittard,SIT,Almere City FC,Almere City,ALM,2,1,2,1,HOME_TEAM,Jannick van der Laan
441496,2023,2,2023-08-19,FINISHED,Go Ahead Eagles,Go Ahead,GOA,FC Volendam,Volendam,VOL,4,1,3,0,HOME_TEAM,Edwin van de Graaf
441492,2023,2,2023-08-20,FINISHED,FC Utrecht,Utrecht,UTR,SC Heerenveen,Heerenveen,HEE,0,2,0,0,AWAY_TEAM,Ingmar Oostrom
441497,2023,2,2023-08-20,FINISHED,Sparta Rotterdam,Sparta,SPA,Feyenoord Rotterdam,Feyenoord,FEY,2,2,1,0,DRAW,Danny Makkelie
