match_id,season,matchday,date,status,stage,home_team,home_team_short,home_team_tla,away_team,away_team_short,away_team_tla,home_goals_ft,away_goals_ft,home_goals_ht,away_goals_ht,result,duration,referee
537441,2025,1,2025-08-08,FINISHED,REGULAR_SEASON,Fortuna Sittard,Sittard,SIT,Go Ahead Eagles,Go Ahead,GOA,2,2,1,1,DRAW,REGULAR,Rob Dieperink
537442,2025,1,2025-08-09,FINISHED,REGULAR_SEASON,NEC,NEC,NEC,SBV Excelsior,Excelsior,EXC,5,0,1,0,HOME_TEAM,REGULAR,Danny Makkelie
537443,2025,1,2025-08-09,FINISHED,REGULAR_SEASON,Feyenoord Rotterdam,Feyenoord,FEY,NAC Breda,NAC,NAC,2,0,1,0,HOME_TEAM,REGULAR,Allard Lindhout
537444,2025,1,2025-08-09,FINISHED,REGULAR_SEASON,SC Heerenveen,Heerenveen,HEE,FC Volendam,Volendam,VOL,1,1,1,0,DRAW,REGULAR,Marc Nagtegaal
537445,2025,1,2025-08-09,FINISHED,REGULAR_SEASON,PSV,PSV,PSV,Sparta Rotterdam,Sparta,SPA,6,1,3,0,HOME_TEAM,REGULAR,Bas Nijhuis
537446,2025,1,2025-08-10,FINISHED,REGULAR_SEASON,PEC Zwolle,Zwolle,ZWO,FC Twente '65,Twente,TWE,1,0,1,0,HOME_TEAM,REGULAR,Joey Kooij
537447,2025,1,2025-08-10,FINISHED,REGULAR_SEASON,AFC Ajax,Ajax,AJA,Telstar 1963,Telstar,TEL,2,0,1,0,HOME_TEAM,REGULAR,Jannick van der Laan
537448,2025,1,2025-08-10,FINISHED,REGULAR_SEASON,AZ,AZ,AZ,FC Groningen,Groningen,GRO,4,1,3,1,HOME_TEAM,REGULAR,Serdar Gözübüyük
537449,2025,1,2025-08-10,FINISHED,REGULAR_SEASON,FC Utrecht,Utrecht,UTR,Heracles Almelo,Heracles,HER,4,0,1,0,HOME_TEAM,REGULAR,Erwin Blank
537450,2025,2,2025-08-15,FINISHED,REGULAR_SEASON,Telstar 1963,Telstar,TEL,PEC Zwolle,Zwolle,ZWO,0,2,0,1,AWAY_TEAM,REGULAR,Serdar Gözübüyük
537452,2025,2,2025-08-16,FINISHED,REGULAR_SEASON,SBV Excelsior,Excelsior,EXC,Feyenoord Rotterdam,Feyenoord,FEY,1,2,1,2,AWAY_TEAM,REGULAR,Dennis Higler
537453,2025,2,2025-08-16,FINISHED,REGULAR_SEASON,Heracles Almelo,Heracles,HER,NEC,NEC,NEC,1,4,1,1,AWAY_TEAM,REGULAR,Alex Bos
537451,2025,2,2025-08-16,FINISHED,REGULAR_SEASON,FC Groningen,Groningen,GRO,SC Heerenveen,Heerenveen,HEE,2,1,1,1,HOME_TEAM,REGULAR,Jeroen Manschot
537454,2025,2,2025-08-17,FINISHED,REGULAR_SEASON,Go Ahead Eagles,Go Ahead,GOA,AFC Ajax,Ajax,AJA,2,2,2,2,DRAW,REGULAR,Danny Makkelie
537455,2025,2,2025-08-17,FINISHED,REGULAR_SEASON,Sparta Rotterdam,Sparta,SPA,FC Utrecht,Utrecht,UTR,2,1,1,0,HOME_TEAM,REGULAR,Allard Lindhout
537456,2025,2,2025-08-17,FINISHED,REGULAR_SEASON,FC Twente '65,Twente,TWE,PSV,PSV,PSV,0,2,0,1,AWAY_TEAM,REGULAR,Sander Van der Eijk
537457,2025,2,2025-08-17,FINISHED,REGULAR_SEASON,FC Volendam,Volendam,VOL,AZ,AZ,AZ,2,2,1,1,DRAW,REGULAR,Martijn Vos
537458,2025,2,2025-08-17,FINISHED,REGULAR_SEASON,NAC Breda,NAC,NAC,Fortuna Sittard,Sittard,SIT,2,1,1,0,HOME_TEAM,REGULAR,Martin van den Kerkhof
537459,2025,3,2025-08-23,FINISHED,REGULAR_SEASON,Go Ahead Eagles,Go Ahead,GOA,Sparta Rotterdam,Sparta,SPA,0,3,0,1,AWAY_TEAM,REGULAR,Robin Hensgens
537460,2025,3,2025-08-23,FINISHED,REGULAR_SEASON,PSV,PSV,PSV,FC Groningen,Groningen,GRO,4,2,1,1,HOME_TEAM,REGULAR,Danny Makkelie
537461,2025,3,2025-08-23,FINISHED,REGULAR_SEASON,Telstar 1963,Telstar,TEL,FC Volendam,Volendam,VOL,2,2,2,0,DRAW,REGULAR,Sander Van der Eijk
537463,2025,3,2025-08-24,FINISHED,REGULAR_SEASON,SC Heerenveen,Heerenveen,HEE,FC Twente '65,Twente,TWE,1,2,0,1,AWAY_TEAM,REGULAR,Dennis Higler
537464,2025,3,2025-08-24,FINISHED,REGULAR_SEASON,FC Utrecht,Utrecht,UTR,SBV Excelsior,Excelsior,EXC,4,1,2,0,HOME_TEAM,REGULAR,Joey Kooij
537465,2025,3,2025-08-24,FINISHED,REGULAR_SEASON,NEC,NEC,NEC,NAC Breda,NAC,NAC,3,0,1,0,HOME_TEAM,REGULAR,Bas Nijhuis
537466,2025,3,2025-08-24,FINISHED,REGULAR_SEASON,AFC Ajax,Ajax,AJA,Heracles Almelo,Heracles,HER,2,0,1,0,HOME_TEAM,REGULAR,Marc Nagtegaal
537468,2025,4,2025-08-29,FINISHED,REGULAR_SEASON,FC Groningen,Groningen,GRO,Heracles Almelo,Heracles,HER,4,0,3,0,HOME_TEAM,REGULAR,Rob Dieperink
537469,2025,4,2025-08-30,FINISHED,REGULAR_SEASON,FC Volendam,Volendam,VOL,AFC Ajax,Ajax,AJA,1,1,1,0,DRAW,REGULAR,Alex Bos
537470,2025,4,2025-08-30,FINISHED,REGULAR_SEASON,SC Heerenveen,Heerenveen,HEE,Go Ahead Eagles,Go Ahead,GOA,2,2,1,1,DRAW,REGULAR,Allard Lindhout
537471,2025,4,2025-08-30,FINISHED,REGULAR_SEASON,PSV,PSV,PSV,Telstar 1963,Telstar,TEL,0,2,0,1,AWAY_TEAM,REGULAR,Robin Hensgens
537472,2025,4,2025-08-30,FINISHED,REGULAR_SEASON,SBV Excelsior,Excelsior,EXC,FC Twente '65,Twente,TWE,1,0,0,0,HOME_TEAM,REGULAR,Ingmar Oostrom
537473,2025,4,2025-08-31,FINISHED,REGULAR_SEASON,Fortuna Sittard,Sittard,SIT,NEC,NEC,NEC,3,2,2,1,HOME_TEAM,REGULAR,Erwin Blank
537474,2025,4,2025-08-31,FINISHED,REGULAR_SEASON,PEC Zwolle,Zwolle,ZWO,FC Utrecht,Utrecht,UTR,0,2,0,2,AWAY_TEAM,REGULAR,Jannick van der Laan
537475,2025,4,2025-08-31,FINISHED,REGULAR_SEASON,Sparta Rotterdam,Sparta,SPA,Feyenoord Rotterdam,Feyenoord,FEY,0,4,0,1,AWAY_TEAM,REGULAR,Serdar Gözübüyük
537476,2025,4,2025-08-31,FINISHED,REGULAR_SEASON,NAC Breda,NAC,NAC,AZ,AZ,AZ,0,1,0,0,AWAY_TEAM,REGULAR,Jeroen Manschot
537477,2025,5,2025-09-13,FINISHED,REGULAR_SEASON,AFC Ajax,Ajax,AJA,PEC Zwolle,Zwolle,ZWO,3,1,2,0,HOME_TEAM,REGULAR,Sander Van der Eijk
