match_id,season,matchday,date,status,stage,home_team,home_team_short,home_team_tla,away_team,away_team_short,away_team_tla,home_goals_ft,away_goals_ft,home_goals_ht,away_goals_ht,result,duration,referee
442710,2023,1,2023-08-11,FINISHED,REGULAR_SEASON,OGC Nice,Nice,NIC,Lille OSC,Lille,LIL,1,1,1,0,DRAW,REGULAR,Benoît Bastien
442711,2023,1,2023-08-12,FINISHED,REGULAR_SEASON,Olympique de Marseille,Marseille,MAR,Stade de Reims,Stade de Reims,SDR,2,1,1,1,HOME_TEAM,REGULAR,Eric Wattellier
442712,2023,1,2023-08-12,FINISHED,REGULAR_SEASON,Paris Saint-Germain FC,PSG,PSG,FC Lorient,Lorient,FCL,0,0,0,0,DRAW,REGULAR,Bastien Dechepy
442714,2023,1,2023-08-13,FINISHED,REGULAR_SEASON,Stade Brestois 29,Brest,BRE,Racing Club de Lens,RC Lens,RCL,3,2,1,2,HOME_TEAM,REGULAR,Jérémie Pignard
442707,2023,1,2023-08-13,FINISHED,REGULAR_SEASON,Clermont Foot 63,Clermont Foot,CLF,AS Monaco FC,Monaco,ASM,2,4,1,2,AWAY_TEAM,REGULAR,François Letexier
442708,2023,1,2023-08-13,FINISHED,REGULAR_SEASON,FC Nantes,Nantes,NAN,Toulouse FC,Toulouse,TOU,1,2,1,0,AWAY_TEAM,REGULAR,Willy Delajod
442709,2023,1,2023-08-13,FINISHED,REGULAR_SEASON,Montpellier HSC,Montpellier,MON,Le Havre AC,Le Havre,HAC,2,2,0,1,DRAW,REGULAR,Clément Turpin
442715,2023,1,2023-08-13,FINISHED,REGULAR_SEASON,Stade Rennais FC 1901,Stade Rennais,REN,FC Metz,FC Metz,FCM,5,1,1,1,HOME_TEAM,REGULAR,Jeremy Stinat
442713,2023,1,2023-08-13,FINISHED,REGULAR_SEASON,RC Strasbourg Alsace,Strasbourg,RC ,Olympique Lyonnais,Olympique Lyon,LYO,2,1,0,0,HOME_TEAM,REGULAR,Jérôme Brisard
442719,2023,2,2023-08-18,FINISHED,REGULAR_SEASON,FC Metz,FC Metz,FCM,Olympique de Marseille,Marseille,MAR,2,2,0,1,DRAW,REGULAR,Jérôme Brisard
442721,2023,2,2023-08-19,FINISHED,REGULAR_SEASON,Olympique Lyonnais,Olympique Lyon,LYO,Montpellier HSC,Montpellier,MON,1,4,0,2,AWAY_TEAM,REGULAR,Mathieu Vernice
442720,2023,2,2023-08-19,FINISHED,REGULAR_SEASON,Toulouse FC,Toulouse,TOU,Paris Saint-Germain FC,PSG,PSG,1,1,0,0,DRAW,REGULAR,Thomas Léonard
442722,2023,2,2023-08-20,FINISHED,REGULAR_SEASON,Lille OSC,Lille,LIL,FC Nantes,Nantes,NAN,2,0,0,0,HOME_TEAM,REGULAR,Pierre Gaillouste
442716,2023,2,2023-08-20,FINISHED,REGULAR_SEASON,Le Havre AC,Le Havre,HAC,Stade Brestois 29,Brest,BRE,1,2,0,1,AWAY_TEAM,REGULAR,Florent Batta
442718,2023,2,2023-08-20,FINISHED,REGULAR_SEASON,FC Lorient,Lorient,FCL,OGC Nice,Nice,NIC,1,1,0,0,DRAW,REGULAR,Hakim Ben El Hadj Salem
442724,2023,2,2023-08-20,FINISHED,REGULAR_SEASON,Stade de Reims,Stade de Reims,SDR,Clermont Foot 63,Clermont Foot,CLF,2,0,1,0,HOME_TEAM,REGULAR,Romain Lissorgue
442717,2023,2,2023-08-20,FINISHED,REGULAR_SEASON,AS Monaco FC,Monaco,ASM,RC Strasbourg Alsace,Strasbourg,RC ,3,0,2,0,HOME_TEAM,REGULAR,Ruddy Buquet
442723,2023,2,2023-08-20,FINISHED,REGULAR_SEASON,Racing Club de Lens,RC Lens,RCL,Stade Rennais FC 1901,Stade Rennais,REN,1,1,1,0,DRAW,REGULAR,Benoît Millot
442727,2023,3,2023-08-25,FINISHED,REGULAR_SEASON,FC Nantes,Nantes,NAN,AS Monaco FC,Monaco,ASM,3,3,2,1,DRAW,REGULAR,Jérémie Pignard
442730,2023,3,2023-08-26,FINISHED,REGULAR_SEASON,Olympique de Marseille,Marseille,MAR,Stade Brestois 29,Brest,BRE,2,0,1,0,HOME_TEAM,REGULAR,Jeremy Stinat
442731,2023,3,2023-08-26,FINISHED,REGULAR_SEASON,Paris Saint-Germain FC,PSG,PSG,Racing Club de Lens,RC Lens,RCL,3,1,1,0,HOME_TEAM,REGULAR,François Letexier
442733,2023,3,2023-08-27,FINISHED,REGULAR_SEASON,Stade Rennais FC 1901,Stade Rennais,REN,Le Havre AC,Le Havre,HAC,2,2,2,1,DRAW,REGULAR,Eric Wattellier
442725,2023,3,2023-08-27,FINISHED,REGULAR_SEASON,Clermont Foot 63,Clermont Foot,CLF,FC Metz,FC Metz,FCM,0,1,0,0,AWAY_TEAM,REGULAR,Gaël Angoula
442728,2023,3,2023-08-27,FINISHED,REGULAR_SEASON,Montpellier HSC,Montpellier,MON,Stade de Reims,Stade de Reims,SDR,1,3,1,2,AWAY_TEAM,REGULAR,Marc Bollengier
442732,2023,3,2023-08-27,FINISHED,REGULAR_SEASON,RC Strasbourg Alsace,Strasbourg,RC ,Toulouse FC,Toulouse,TOU,2,0,0,0,HOME_TEAM,REGULAR,Benoît Bastien
