match_id,season,matchday,date,status,home_team,home_team_short,home_team_tla,away_team,away_team_short,away_team_tla,home_goals_ft,away_goals_ft,home_goals_ht,away_goals_ht,result,referee
542414,2025,1,2025-08-15,FINISHED,Stade Rennais FC 1901,Stade Rennais,REN,Olympique de Marseille,Marseille,MAR,1,0,0,0,HOME_TEAM,Jérémie Pignard
542411,2025,1,2025-08-16,FINISHED,Racing Club de Lens,RC Lens,RCL,Olympique Lyonnais,Olympique Lyon,LYO,0,1,0,1,AWAY_TEAM,Romain Lissorgue
542407,2025,1,2025-08-16,FINISHED,AS Monaco FC,Monaco,ASM,Le Havre AC,Le Havre,HAC,3,1,1,0,HOME_TEAM,Ruddy Buquet
542410,2025,1,2025-08-16,FINISHED,OGC Nice,Nice,NIC,Toulouse FC,Toulouse,TOU,0,1,0,0,AWAY_TEAM,Thomas Léonard
542413,2025,1,2025-08-17,FINISHED,Stade Brestois 29,Brest,BRE,Lille OSC,Lille,LIL,3,3,1,2,DRAW,Clément Turpin
542406,2025,1,2025-08-17,FINISHED,AJ Auxerre,Auxerre,AJA,FC Lorient,Lorient,FCL,1,0,0,0,HOME_TEAM,Abdelatif Kherradji
542408,2025,1,2025-08-17,FINISHED,FC Metz,FC Metz,FCM,RC Strasbourg Alsace,Strasbourg,RC ,0,1,0,0,AWAY_TEAM,Mathieu Vernice
542412,2025,1,2025-08-17,FINISHED,Angers SCO,Angers SCO,ANG,Paris FC,Paris FC,PFC,1,0,1,0,HOME_TEAM,François Letexier
542409,2025,1,2025-08-17,FINISHED,FC Nantes,Nantes,NAN,Paris Saint-Germain FC,PSG,PSG,0,1,0,0,AWAY_TEAM,Benoît Bastien
542422,2025,2,2025-08-22,FINISHED,Paris Saint-Germain FC,PSG,PSG,Angers SCO,Angers SCO,ANG,1,0,0,0,HOME_TEAM,Hakim Ben El Hadj Salem
542420,2025,2,2025-08-23,FINISHED,Olympique de Marseille,Marseille,MAR,Paris FC,Paris FC,PFC,5,2,2,1,HOME_TEAM,Marc Bollengier
542418,2025,2,2025-08-23,FINISHED,OGC Nice,Nice,NIC,AJ Auxerre,Auxerre,AJA,3,1,2,1,HOME_TEAM,Jeremy Stinat
542419,2025,2,2025-08-23,FINISHED,Olympique Lyonnais,Olympique Lyon,LYO,FC Metz,FC Metz,FCM,3,0,2,0,HOME_TEAM,Eric Wattellier
542416,2025,2,2025-08-24,FINISHED,FC Lorient,Lorient,FCL,Stade Rennais FC 1901,Stade Rennais,REN,4,0,1,0,HOME_TEAM,Jérôme Brisard
542415,2025,2,2025-08-24,FINISHED,Le Havre AC,Le Havre,HAC,Racing Club de Lens,RC Lens,RCL,1,2,1,2,AWAY_TEAM,Guillaume Paradis
542417,2025,2,2025-08-24,FINISHED,Toulouse FC,Toulouse,TOU,Stade Brestois 29,Brest,BRE,2,0,0,0,HOME_TEAM,Benoît Millot
542423,2025,2,2025-08-24,FINISHED,RC Strasbourg Alsace,Strasbourg,RC ,FC Nantes,Nantes,NAN,1,0,0,0,HOME_TEAM,Bastien Dechepy
542421,2025,2,2025-08-24,FINISHED,Lille OSC,Lille,LIL,AS Monaco FC,Monaco,ASM,1,0,0,0,HOME_TEAM,Willy Delajod
542431,2025,3,2025-08-29,FINISHED,Racing Club de Lens,RC Lens,RCL,Stade Brestois 29,Brest,BRE,3,1,0,1,HOME_TEAM,Abdelatif Kherradji
542426,2025,3,2025-08-30,FINISHED,FC Lorient,Lorient,FCL,Lille OSC,Lille,LIL,1,7,0,0,AWAY_TEAM,Romain Lissorgue
542427,2025,3,2025-08-30,FINISHED,FC Nantes,Nantes,NAN,AJ Auxerre,Auxerre,AJA,1,0,1,0,HOME_TEAM,Stéphanie Frappart
542429,2025,3,2025-08-30,FINISHED,Toulouse FC,Toulouse,TOU,Paris Saint-Germain FC,PSG,PSG,3,6,1,4,AWAY_TEAM,Eric Wattellier
542432,2025,3,2025-08-31,FINISHED,Angers SCO,Angers SCO,ANG,Stade Rennais FC 1901,Stade Rennais,REN,1,1,0,1,DRAW,Marc Bollengier
