match_id,season,matchday,date,status,home_team,home_team_short,home_team_tla,away_team,away_team_short,away_team_tla,home_goals_ft,away_goals_ft,home_goals_ht,away_goals_ht,result,referee
504020,2024,1,2024-08-09,FINISHED,Sporting Clube de Portugal,Sporting CP,SPO,Rio Ave FC,Rio Ave,RIO,3,1,2,0,HOME_TEAM,
504016,2024,1,2024-08-10,FINISHED,AVS,AVS,AVS,CD Nacional,CD Nacional,CDN,1,1,0,1,DRAW,
504021,2024,1,2024-08-10,FINISHED,Casa Pia AC,Casa Pia,CAS,Boavista FC,Boavista,BOA,0,1,0,0,AWAY_TEAM,
504024,2024,1,2024-08-10,FINISHED,FC Porto,Porto,FCP,Gil Vicente FC,Gil Vicente,GIL,3,0,1,0,HOME_TEAM,Claudio Pereira
504023,2024,1,2024-08-11,FINISHED,GD Estoril Praia,Estoril Praia,EST,CD Santa Clara,Santa Clara,CD ,1,4,1,1,AWAY_TEAM,
504017,2024,1,2024-08-11,FINISHED,SC Farense,Farense,FAR,Moreirense FC,Moreirense,MOR,1,2,0,1,AWAY_TEAM,
504018,2024,1,2024-08-11,FINISHED,FC Famalicão,Famalicão,FAM,Sport Lisboa e Benfica,SL Benfica,BEN,2,0,1,0,HOME_TEAM,
504022,2024,1,2024-08-11,FINISHED,Sporting Clube de Braga,Braga,SCB,CF Estrela da Amadora,Amadora,AMA,1,1,0,0,DRAW,
504019,2024,1,2024-08-12,FINISHED,FC Arouca,Arouca,FCA,Vitória SC,Vitória SC,GUI,0,1,0,1,AWAY_TEAM,
504009,2024,2,2024-08-16,FINISHED,CD Santa Clara,Santa Clara,CD ,FC Porto,Porto,FCP,0,2,0,2,AWAY_TEAM,
504013,2024,2,2024-08-16,FINISHED,Gil Vicente FC,Gil Vicente,GIL,AVS,AVS,AVS,4,2,2,2,HOME_TEAM,
504014,2024,2,2024-08-17,FINISHED,Rio Ave FC,Rio Ave,RIO,SC Farense,Farense,FAR,1,0,1,0,HOME_TEAM,
504007,2024,2,2024-08-17,FINISHED,CD Nacional,CD Nacional,CDN,Sporting Clube de Portugal,Sporting CP,SPO,1,6,1,2,AWAY_TEAM,
504010,2024,2,2024-08-17,FINISHED,Sport Lisboa e Benfica,SL Benfica,BEN,Casa Pia AC,Casa Pia,CAS,3,0,0,0,HOME_TEAM,
504012,2024,2,2024-08-18,FINISHED,Moreirense FC,Moreirense,MOR,FC Arouca,Arouca,FCA,3,1,2,1,HOME_TEAM,
504015,2024,2,2024-08-18,FINISHED,Vitória SC,Vitória SC,GUI,GD Estoril Praia,Estoril Praia,EST,1,0,1,0,HOME_TEAM,
504011,2024,2,2024-08-18,FINISHED,Boavista FC,Boavista,BOA,Sporting Clube de Braga,Braga,SCB,0,1,0,1,AWAY_TEAM,
