match_id,date,season,round,status,home_team,home_team_short,home_team_slug,away_team,away_team_short,away_team_slug,home_goals,away_goals,duration,result,home_penalties,away_penalties,has_xg,home_ballPossession,away_ballPossession,home_expectedGoals,away_expectedGoals,home_bigChanceCreated,away_bigChanceCreated,home_bigChanceMissed,away_bigChanceMissed,home_totalShotsOnGoal,away_totalShotsOnGoal,home_shotsOnTarget,away_shotsOnTarget,home_shotsOffTarget,away_shotsOffTarget,home_blockedShots,away_blockedShots,home_goalkeeperSaves,away_goalkeeperSaves,home_cornerKicks,away_cornerKicks,home_freeKicks,away_freeKicks,home_yellowCards,away_yellowCards,home_redCards,away_redCards,home_totalPasses,away_totalPasses,home_accuratePasses,away_accuratePasses,home_accuratePassesPercentage,away_accuratePassesPercentage,home_totalLongBalls,away_totalLongBalls,home_accurateLongBalls,away_accurateLongBalls,home_totalCross,away_totalCross,home_accurateCross,away_accurateCross,home_dribbles,away_dribbles,home_successfulDribbles,away_successfulDribbles,home_tackles,away_tackles,home_totalDuels,away_totalDuels,home_totalDuelsWon,away_totalDuelsWon,home_fouls,away_fouls,home_offsides,away_offsides,home_throwIns,away_throwIns,home_goalKicks,away_goalKicks
14056037,2025-08-22,25/26,1,finished,FC Bayern München,Bayern,fc-bayern-munchen,RB Leipzig,Leipzig,rb-leipzig,6,0,REGULAR,HOME_TEAM,,,True,63,37,1.72,0.54,6,0,2,0,19,12,,,,,,,1,3,5,5,13,13,4,1,,,,,599,319,,,,,35,18,,,2,1,,,,,,,,,,,13,13,2,0,14,9,5,7
14057744,2025-08-23,25/26,1,finished,Eintracht Frankfurt,Frankfurt,eintracht-frankfurt,SV Werder Bremen,Bremen,sv-werder-bremen,4,1,REGULAR,HOME_TEAM,,,True,53,47,2.74,0.53,4,1,2,1,18,10,,,,,,,4,1,7,1,9,9,1,3,,,,,399,350,,,,,37,27,,,8,3,,,,,,,,,,,9,9,2,3,18,21,7,13
14057801,2025-09-13,25/26,3,finished,FC Bayern München,Bayern,fc-bayern-munchen,Hamburger SV,HSV,hamburger-sv,5,0,REGULAR,HOME_TEAM,,,True,71,29,2.54,0.58,4,0,1,0,22,9,,,,,,,2,7,5,3,13,11,2,2,,,,,712,266,,,,,17,21,,,4,2,,,,,,,,,,,11,14,1,2,16,17,7,6
14062006,2025-08-23,25/26,1,finished,1. FC Union Berlin,Union Berlin,1-fc-union-berlin,VfB Stuttgart,Stuttgart,vfb-stuttgart,2,1,REGULAR,HOME_TEAM,,,True,25,75,0.34,1.73,0,4,0,4,8,21,,,,,,,5,0,5,11,13,21,4,4,,,,,125,547,,,,,31,16,,,5,10,,,,,,,,,,,21,13,2,1,12,17,9,5
14062007,2025-08-24,25/26,1,finished,Borussia M'gladbach,M'gladbach,borussia-mgladbach,Hamburger SV,HSV,hamburger-sv,0,0,REGULAR,DRAW,,,True,61,39,1.1,0.41,2,0,2,0,17,7,,,,,,,1,4,7,6,10,10,2,1,,,,,484,282,,,,,7,19,,,6,2,,,,,,,,,,,10,10,1,4,24,20,6,10
14062008,2025-08-23,25/26,1,finished,FC St. Pauli,St. Pauli,fc-st-pauli,Borussia Dortmund,Dortmund,borussia-dortmund,3,3,REGULAR,DRAW,,,True,51,49,1.29,1.56,2,4,1,2,11,8,,,,,,,4,4,5,2,11,12,2,3,0,1,,,397,413,,,,,25,20,,,6,5,,,,,,,,,,,13,12,4,3,23,17,4,5
14062009,2025-08-23,25/26,1,finished,Bayer 04 Leverkusen,Leverkusen,bayer-04-leverkusen,TSG Hoffenheim,Hoffenheim,tsg-hoffenheim,1,2,REGULAR,AWAY_TEAM,,,True,60,40,0.71,0.45,1,0,,,7,10,,,,,,,3,2,6,4,17,9,0,4,,,,,489,313,,,,,21,35,,,3,6,,,,,,,,,,,9,17,1,1,22,18,5,6
14062010,2025-08-24,25/26,1,finished,1. FSV Mainz 05,Mainz 05,1-fsv-mainz-05,1. FC Köln,Köln,1-fc-koln,0,1,REGULAR,AWAY_TEAM,,,True,51,49,1.52,1.36,1,3,1,2,19,12,,,,,,,1,2,8,3,9,7,0,2,1,0,,,302,323,,,,,37,27,,,13,4,,,,,,,,,,,7,9,5,0,29,22,9,13
14062011,2025-08-23,25/26,1,finished,1. FC Heidenheim,Heidenheim,1-fc-heidenheim,VfL Wolfsburg,Wolfsburg,vfl-wolfsburg,1,3,REGULAR,AWAY_TEAM,,,True,49,51,0.72,2.45,1,4,1,2,7,15,,,,,,,2,1,2,5,12,11,2,3,,,,,324,329,,,,,15,26,,,3,4,,,,,,,,,,,12,12,2,0,18,20,11,7
14062012,2025-08-23,25/26,1,finished,SC Freiburg,Freiburg,sc-freiburg,FC Augsburg,Augsburg,fc-augsburg,1,3,REGULAR,AWAY_TEAM,,,True,60,40,2.6,1.34,3,1,2,0,16,14,,,,,,,2,3,5,5,17,14,4,5,,,,,373,215,,,,,28,17,,,4,4,,,,,,,,,,,14,18,4,3,27,14,3,10
14062137,2025-12-14,25/26,14,finished,SV Werder Bremen,Bremen,sv-werder-bremen,VfB Stuttgart,Stuttgart,vfb-stuttgart,0,4,REGULAR,AWAY_TEAM,,,True,38,62,0.91,2.17,0,1,0,1,11,24,,,,,,,8,4,1,9,6,11,2,0,1,0,,,291,527,,,,,15,13,,,4,6,,,,,,,,,,,11,6,0,2,19,16,9,4
14062138,2025-12-12,25/26,14,finished,1. FC Union Berlin,Union Berlin,1-fc-union-berlin,RB Leipzig,Leipzig,rb-leipzig,3,1,REGULAR,HOME_TEAM,,,True,37,63,1.42,0.55,3,0,1,0,12,9,,,,,,,2,3,4,6,8,7,2,2,,,,,210,464,,,,,25,22,,,5,5,,,,,,,,,,,7,8,1,0,27,10,8,8
14062139,2025-12-13,25/26,14,finished,TSG Hoffenheim,Hoffenheim,tsg-hoffenheim,Hamburger SV,HSV,hamburger-sv,4,1,REGULAR,HOME_TEAM,,,True,59,41,1.31,1.38,5,2,1,1,10,14,,,,,,,4,2,3,3,10,15,1,3,,,,,487,309,,,,,17,34,,,7,4,,,,,,,,,,,16,10,2,1,29,18,5,5
14062140,2025-12-20,25/26,15,finished,Hamburger SV,HSV,hamburger-sv,Eintracht Frankfurt,Frankfurt,eintracht-frankfurt,1,1,REGULAR,DRAW,,,True,40,60,0.75,1.59,1,2,1,1,9,9,,,,,,,1,1,5,5,12,8,,,,,,,291,474,,,,,21,26,,,5,1,,,,,,,,,,,8,12,3,0,19,24,10,4
14062141,2026-01-09,25/26,16,finished,Eintracht Frankfurt,Frankfurt,eintracht-frankfurt,Borussia Dortmund,Dortmund,borussia-dortmund,3,3,REGULAR,DRAW,,,True,40,60,1.58,2.39,2,4,0,2,12,16,,,,,,,3,3,2,5,5,14,3,3,,,,,284,470,,,,,25,31,,,1,6,,,,,,,,,,,14,6,0,2,18,32,5,4
14062142,2025-12-20,25/26,15,finished,1. FC Köln,Köln,1-fc-koln,1. FC Union Berlin,Union Berlin,1-fc-union-berlin,0,1,REGULAR,AWAY_TEAM,,,True,62,38,0.55,1.26,0,2,0,2,13,11,,,,,,,1,2,3,6,18,9,2,5,1,0,,,452,238,,,,,14,22,,,8,9,,,,,,,,,,,9,18,1,2,17,21,10,9
