match_id,date,season,round,status,home_team,home_team_short,home_team_slug,away_team,away_team_short,away_team_slug,home_goals,away_goals,duration,result,home_penalties,away_penalties,has_xg,home_ballPossession,away_ballPossession,home_expectedGoals,away_expectedGoals,home_bigChanceCreated,away_bigChanceCreated,home_bigChanceMissed,away_bigChanceMissed,home_totalShotsOnGoal,away_totalShotsOnGoal,home_shotsOnTarget,away_shotsOnTarget,home_shotsOffTarget,away_shotsOffTarget,home_blockedShots,away_blockedShots,home_goalkeeperSaves,away_goalkeeperSaves,home_cornerKicks,away_cornerKicks,home_freeKicks,away_freeKicks,home_yellowCards,away_yellowCards,home_redCards,away_redCards,home_totalPasses,away_totalPasses,home_accuratePasses,away_accuratePasses,home_accuratePassesPercentage,away_accuratePassesPercentage,home_totalLongBalls,away_totalLongBalls,home_accurateLongBalls,away_accurateLongBalls,home_totalCross,away_totalCross,home_accurateCross,away_accurateCross,home_dribbles,away_dribbles,home_successfulDribbles,away_successfulDribbles,home_tackles,away_tackles,home_totalDuels,away_totalDuels,home_totalDuelsWon,away_totalDuelsWon,home_fouls,away_fouls,home_offsides,away_offsides,home_throwIns,away_throwIns,home_goalKicks,away_goalKicks
10368205,2022-06-21,22/23,28,finished,La Fiorita,La Fiorita,la-fiorita,Inter Club d'Escaldes,Inter,inter-club-descaldes,1,2,REGULAR,AWAY_TEAM,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10368206,2022-06-21,22/23,28,finished,FCI Levadia Tallinn,Levadia,fci-levadia-tallinn,Víkingur Reykjavík,Víkingur,vikingur-reykjavik,1,6,REGULAR,AWAY_TEAM,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379615,2022-07-13,22/23,1,finished,Linfield FC,Linfield,linfield-fc,The New Saints,TNS,the-new-saints,2,0,EXTRA_TIME,HOME_TEAM,,,False,52,48,,,,,,,13,18,,,,,,,4,5,13,3,13,18,6,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,16,11,2,2,36,26,11,16
10379616,2022-07-06,22/23,1,finished,FC Tobol,Tobol,fc-tobol,Ferencváros TC,Ferencváros,ferencvaros-tc,0,0,REGULAR,DRAW,,,False,,,,,,,,,,,,,,,,,,,4,7,,,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379617,2022-07-05,22/23,1,finished,Shamrock Rovers,Shamrock Rovers,shamrock-rovers,Hibernians,Hibernians,hibernians,3,0,REGULAR,HOME_TEAM,,,False,,,,,,,,,,,,,,,,,,,6,1,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379618,2022-07-06,22/23,1,finished,HŠK Zrinjski Mostar,Zrinjski,hsk-zrinjski-mostar,Sheriff Tiraspol,Sheriff,sheriff,0,0,REGULAR,DRAW,,,False,,,,,,,,,,,,,,,,,,,3,3,,,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379619,2022-07-13,22/23,1,finished,Ferencváros TC,Ferencváros,ferencvaros-tc,FC Tobol,Tobol,fc-tobol,5,1,REGULAR,HOME_TEAM,,,False,,,,,,,,,11,1,,,,,,,,,10,2,11,20,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,18,9,2,2,17,13,4,9
10379620,2022-07-12,22/23,1,finished,Sheriff Tiraspol,Sheriff,sheriff,HŠK Zrinjski Mostar,Zrinjski,hsk-zrinjski-mostar,1,0,REGULAR,HOME_TEAM,,,False,,,,,,,,,,,,,,,,,,,4,3,,,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379621,2022-07-12,22/23,1,finished,Hibernians,Hibernians,hibernians,Shamrock Rovers,Shamrock Rovers,shamrock-rovers,0,0,REGULAR,DRAW,,,False,,,,,,,,,,,,,,,,,,,1,0,,,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379622,2022-07-12,22/23,1,finished,KF Tirana,Tirana,kf-tirana,F91 Dudelange,Dudelange,f91-dudelange,1,2,REGULAR,AWAY_TEAM,,,False,54,46,,,,,,,5,10,,,,,,,1,2,1,8,7,18,6,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14,7,4,0,33,19,11,7
10379623,2022-07-12,22/23,1,finished,Lincoln Red Imps,Lincoln RI,lincoln-red-imps,KF Shkupi,Shkupi,kf-shkupi,2,0,REGULAR,HOME_TEAM,,,False,,,,,,,,,,,,,,,,,,,6,2,,,2,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379624,2022-07-12,22/23,1,finished,Qarabağ FK,Qarabağ,qarabag,Lech Poznań,Lech,lech-poznan,5,1,REGULAR,HOME_TEAM,,,False,55,45,,,,,,,19,3,,,,,,,1,4,7,3,13,21,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,18,12,3,1,11,10,6,5
10379625,2022-07-13,22/23,1,finished,Klaksvíkar Ítróttarfelag,Klaksvík,klaksvikar-itrottarfelag,Bodø/Glimt,Bodø/Glimt,bodoglimt,3,1,REGULAR,HOME_TEAM,,,False,,,,,,,,,,,,,,,,,,,5,2,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379626,2022-07-05,22/23,1,finished,Lech Poznań,Lech,lech-poznan,Qarabağ FK,Qarabağ,qarabag,1,0,REGULAR,HOME_TEAM,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379627,2022-07-05,22/23,1,finished,KF Shkupi,Shkupi,kf-shkupi,Lincoln Red Imps,Lincoln RI,lincoln-red-imps,3,0,REGULAR,HOME_TEAM,,,False,,,,,,,,,16,11,,,,,,,7,2,4,6,9,13,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,12,7,1,2,16,32,9,7
10379628,2022-07-12,22/23,1,finished,FK Žalgiris,Žalgiris,fk-zalgiris,KF Ballkani,Ballkani,kf-ballkani,1,0,EXTRA_TIME,HOME_TEAM,,,False,,,,,,,,,,,,,,,,,,,5,4,,,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379629,2022-07-13,22/23,1,finished,CFR 1907 Cluj,CFR Cluj,cfr-1907-cluj,Pyunik Yerevan,Pyunik,pyunik-yerevan,2,2,PENALTY_SHOOTOUT,DRAW,3,4,False,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379630,2022-07-06,22/23,1,finished,ŠK Slovan Bratislava,Slovan,sk-slovan-bratislava,Dinamo Batumi,Dinamo Batumi,dinamo-batumi,0,0,REGULAR,DRAW,,,False,,,,,,,,,13,12,,,,,,,5,5,4,1,10,19,2,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,17,10,2,0,22,17,7,12
10379631,2022-07-05,22/23,1,finished,Ludogorets,Ludogorets,ludogorets,FK Sutjeska Nikšić,Sutjeska,fk-sutjeska-niksic,2,0,REGULAR,HOME_TEAM,,,False,,,,,,,,,,,,,,,,,,,6,2,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379632,2022-07-05,22/23,1,finished,KF Ballkani,Ballkani,kf-ballkani,FK Žalgiris,Žalgiris,fk-zalgiris,1,1,REGULAR,DRAW,,,False,,,,,,,,,,,,,,,,,,,5,3,,,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379633,2022-07-06,22/23,1,finished,NK Maribor,Maribor,nk-maribor,Shakhtyor Soligorsk,Shakhter,shakhtyor-soligorsk,0,0,REGULAR,DRAW,,,False,,,,,,,,,,,,,,,,,,,7,5,,,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379634,2022-07-06,22/23,1,finished,HJK,HJK,hjk,RFS,RFS,rfs,1,0,REGULAR,HOME_TEAM,,,False,,,,,,,,,,,,,,,,,,,5,3,,,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379635,2022-07-13,22/23,1,finished,Dinamo Batumi,Dinamo Batumi,dinamo-batumi,ŠK Slovan Bratislava,Slovan,sk-slovan-bratislava,1,2,EXTRA_TIME,AWAY_TEAM,,,False,,,,,,,,,,,,,,,,,,,6,1,,,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379636,2022-07-05,22/23,1,finished,The New Saints,TNS,the-new-saints,Linfield FC,Linfield,linfield-fc,1,0,REGULAR,HOME_TEAM,,,False,,,,,,,,,,,,,,,,,,,5,5,,,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379637,2022-07-12,22/23,1,finished,FK Sutjeska Nikšić,Sutjeska,fk-sutjeska-niksic,Ludogorets,Ludogorets,ludogorets,0,1,REGULAR,AWAY_TEAM,,,False,,,,,,,,,,,,,,,,,,,1,8,,,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379638,2022-07-12,22/23,1,finished,RFS,RFS,rfs,HJK,HJK,hjk,2,1,PENALTY_SHOOTOUT,HOME_TEAM,4,5,False,,,,,,,,,,,,,,,,,,,7,6,,,7,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379639,2022-07-06,22/23,1,finished,F91 Dudelange,Dudelange,f91-dudelange,KF Tirana,Tirana,kf-tirana,1,0,REGULAR,HOME_TEAM,,,False,,,,,,,,,8,5,,,,,,,1,3,5,3,15,15,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,15,11,0,4,21,35,5,9
10379640,2022-07-05,22/23,1,finished,Pyunik Yerevan,Pyunik,pyunik-yerevan,CFR 1907 Cluj,CFR Cluj,cfr-1907-cluj,0,0,REGULAR,DRAW,,,False,,,,,,,,,,,,,,,,,,,5,11,,,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379641,2022-07-06,22/23,1,finished,Bodø/Glimt,Bodø/Glimt,bodoglimt,Klaksvíkar Ítróttarfelag,Klaksvík,klaksvikar-itrottarfelag,3,0,REGULAR,HOME_TEAM,,,False,,,,,,,,,,,,,,,,,,,11,4,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10379642,2022-07-13,22/23,1,finished,Shakhtyor Soligorsk,Shakhter,shakhtyor-soligorsk,NK Maribor,Maribor,nk-maribor,0,2,REGULAR,AWAY_TEAM,,,False,,,,,,,,,,,,,,,,,,,5,2,,,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382854,2022-07-20,22/23,2,finished,Maccabi Haifa,M. Haifa,maccabi-haifa,Olympiacos FC,Olympiacos,olympiacos-fc,1,1,REGULAR,DRAW,,,False,,,,,,,,,,,,,,,,,,,2,2,,,4,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382855,2022-07-19,22/23,2,finished,FC Midtjylland,Midtjylland,fc-midtjylland,AEK Larnaca,AEK Larnaca,aek-larnaca,1,1,REGULAR,DRAW,,,False,52,48,,,4,0,4,0,30,6,,,,,,,0,3,16,0,12,13,3,2,,,,,258,241,,,,,22,40,,,18,1,,,,,,,,,,,13,12,2,2,21,20,8,9
10382857,2022-07-20,22/23,2,finished,Dynamo Kyiv,Dynamo Kyiv,dynamo-kyiv,Fenerbahçe,Fenerbahçe,fenerbahce,0,0,REGULAR,DRAW,,,False,,,,,,,,,,,,,,,,,,,1,6,,,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382858,2022-07-27,22/23,2,finished,Fenerbahçe,Fenerbahçe,fenerbahce,Dynamo Kyiv,Dynamo Kyiv,dynamo-kyiv,1,2,EXTRA_TIME,AWAY_TEAM,,,False,,,,,,,,,11,9,,,,,,,1,3,7,4,20,10,5,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,10,15,0,5,32,30,10,16
10382859,2022-07-26,22/23,2,finished,AEK Larnaca,AEK Larnaca,aek-larnaca,FC Midtjylland,Midtjylland,fc-midtjylland,1,1,PENALTY_SHOOTOUT,DRAW,3,4,False,59,41,,,1,1,0,1,19,18,,,,,,,2,4,8,5,17,19,2,2,,,,,449,274,,,,,65,41,,,8,6,,,,,,,,,,,19,19,2,2,31,35,15,15
10382860,2022-07-27,22/23,2,finished,Olympiacos FC,Olympiacos,olympiacos-fc,Maccabi Haifa,M. Haifa,maccabi-haifa,0,4,REGULAR,AWAY_TEAM,,,False,,,,,,,,,,,,,,,,,,,5,3,,,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10400733,2022-06-24,22/23,29,finished,Inter Club d'Escaldes,Inter,inter-club-descaldes,Víkingur Reykjavík,Víkingur,vikingur-reykjavik,0,1,REGULAR,AWAY_TEAM,,,False,,,,,,,,,,,,,,,,,,,2,2,,,5,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10413148,2022-07-05,22/23,1,finished,Malmö FF,Malmö,malmo-ff,Víkingur Reykjavík,Víkingur,vikingur-reykjavik,3,2,REGULAR,HOME_TEAM,,,False,,,,,,,,,,,,,,,,,,,2,1,,,3,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10413150,2022-07-12,22/23,1,finished,Víkingur Reykjavík,Víkingur,vikingur-reykjavik,Malmö FF,Malmö,malmo-ff,3,3,REGULAR,DRAW,,,False,,,,,,,,,,,,,,,,,,,6,3,,,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10461267,2022-07-19,22/23,2,finished,GNK Dinamo Zagreb,Dinamo,gnk-dinamo-zagreb,KF Shkupi,Shkupi,kf-shkupi,2,2,REGULAR,DRAW,,,False,,,,,,,,,,,,,,,,,,,4,0,,,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10461273,2022-07-20,22/23,2,finished,HJK,HJK,hjk,FC Viktoria Plzeň,Viktoria Plzeň,viktoria-plzen,1,2,REGULAR,AWAY_TEAM,,,False,,,,,,,,,,,,,,,,,,,8,5,,,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
