match_id,date,season,round,status,home_team,home_team_short,home_team_slug,away_team,away_team_short,away_team_slug,home_goals,away_goals,duration,result,home_penalties,away_penalties,has_xg,home_ballPossession,away_ballPossession,home_expectedGoals,away_expectedGoals,home_bigChanceCreated,away_bigChanceCreated,home_bigChanceMissed,away_bigChanceMissed,home_totalShotsOnGoal,away_totalShotsOnGoal,home_shotsOnTarget,away_shotsOnTarget,home_shotsOffTarget,away_shotsOffTarget,home_blockedShots,away_blockedShots,home_goalkeeperSaves,away_goalkeeperSaves,home_cornerKicks,away_cornerKicks,home_freeKicks,away_freeKicks,home_yellowCards,away_yellowCards,home_redCards,away_redCards,home_totalPasses,away_totalPasses,home_accuratePasses,away_accuratePasses,home_accuratePassesPercentage,away_accuratePassesPercentage,home_totalLongBalls,away_totalLongBalls,home_accurateLongBalls,away_accurateLongBalls,home_totalCross,away_totalCross,home_accurateCross,away_accurateCross,home_dribbles,away_dribbles,home_successfulDribbles,away_successfulDribbles,home_tackles,away_tackles,home_totalDuels,away_totalDuels,home_totalDuelsWon,away_totalDuelsWon,home_fouls,away_fouls,home_offsides,away_offsides,home_throwIns,away_throwIns,home_goalKicks,away_goalKicks
10381988,2022-08-13,22/23,2,finished,Feyenoord,Feyenoord,feyenoord,SC Heerenveen,Heerenveen,sc-heerenveen,0,0,REGULAR,DRAW,,,False,68,32,,,4,0,4,0,19,8,,,,,,,3,11,7,2,6,8,1,2,,,,,620,248,,,,,31,20,,,7,2,,,,,,,,,,,8,6,1,1,27,16,5,12
10381989,2023-04-23,22/23,30,finished,PSV Eindhoven,PSV,psv-eindhoven,AFC Ajax,Ajax,ajax,3,0,REGULAR,HOME_TEAM,,,False,36,64,,,5,0,2,0,11,8,,,,,,,2,1,5,5,10,17,1,3,,,,,252,524,,,,,30,24,,,5,2,,,,,,,,,,,17,11,0,2,12,18,8,9
10381990,2023-04-22,22/23,30,finished,SC Heerenveen,Heerenveen,sc-heerenveen,FC Emmen,Emmen,fc-emmen,2,3,REGULAR,AWAY_TEAM,,,False,55,45,,,4,2,2,0,15,14,,,,,,,2,3,10,5,11,7,0,1,,,,,377,312,,,,,22,24,,,6,2,,,,,,,,,,,7,11,1,2,14,21,2,11
10381991,2023-04-22,22/23,30,finished,Vitesse,Vitesse,vitesse,Excelsior,Excelsior,excelsior,0,0,REGULAR,DRAW,,,False,64,36,,,1,0,1,0,27,6,,,,,,,0,7,17,3,11,6,2,1,,,,,390,196,,,,,32,17,,,10,1,,,,,,,,,,,6,11,3,0,26,15,4,12
10381992,2022-08-14,22/23,2,finished,AFC Ajax,Ajax,ajax,FC Groningen,Groningen,fc-groningen,6,1,REGULAR,HOME_TEAM,,,False,69,31,,,10,0,6,0,24,4,,,,,,,1,5,7,3,5,4,1,0,,,,,516,206,,,,,34,32,,,6,1,,,,,,,,,,,4,6,4,2,28,13,5,12
10381993,2023-04-23,22/23,30,finished,FC Twente,Twente,fc-twente,Sparta Rotterdam,Sparta,sparta-rotterdam,3,3,REGULAR,DRAW,,,False,60,40,,,1,4,0,1,21,17,,,,,,,4,4,17,6,11,7,1,4,0,1,,,324,200,,,,,16,25,,,8,7,,,,,,,,,,,7,13,1,3,21,14,5,9
10381994,2022-08-14,22/23,2,finished,FC Volendam,Volendam,fc-volendam,NEC Nijmegen,NEC,nec-nijmegen,1,4,REGULAR,AWAY_TEAM,,,False,50,50,,,2,5,1,2,16,13,,,,,,,4,5,6,6,11,13,2,0,,,,,314,314,,,,,29,28,,,6,5,,,,,,,,,,,15,13,2,0,21,18,7,8
10381996,2023-05-06,22/23,31,finished,AFC Ajax,Ajax,ajax,AZ Alkmaar,AZ,az-alkmaar,0,0,REGULAR,DRAW,,,False,64,36,,,3,1,3,1,19,11,,,,,,,4,3,7,2,10,10,1,2,,,,,531,272,,,,,33,25,,,8,2,,,,,,,,,,,11,11,1,3,16,23,3,9
10381998,2022-08-12,22/23,2,finished,Excelsior,Excelsior,excelsior,Vitesse,Vitesse,vitesse,3,1,REGULAR,HOME_TEAM,,,False,40,60,,,5,2,2,1,11,22,,,,,,,5,3,1,8,18,9,,,0,1,,,217,361,,,,,39,26,,,3,8,,,,,,,,,,,10,18,3,1,15,25,13,4
10381999,2022-08-13,22/23,2,finished,FC Utrecht,Utrecht,fc-utrecht,SC Cambuur,Cambuur,sc-cambuur,0,0,REGULAR,DRAW,,,False,47,53,,,4,2,4,2,15,21,,,,,,,10,6,7,4,14,10,3,1,,,,,251,324,,,,,37,42,,,6,7,,,,,,,,,,,11,14,0,1,18,28,13,9
