match_id,date,season,round,status,home_team,home_team_short,home_team_slug,away_team,away_team_short,away_team_slug,home_goals,away_goals,duration,result,home_penalties,away_penalties,has_xg,home_ballPossession,away_ballPossession,home_expectedGoals,away_expectedGoals,home_bigChanceCreated,away_bigChanceCreated,home_bigChanceMissed,away_bigChanceMissed,home_totalShotsOnGoal,away_totalShotsOnGoal,home_shotsOnTarget,away_shotsOnTarget,home_shotsOffTarget,away_shotsOffTarget,home_blockedShots,away_blockedShots,home_goalkeeperSaves,away_goalkeeperSaves,home_cornerKicks,away_cornerKicks,home_freeKicks,away_freeKicks,home_yellowCards,away_yellowCards,home_redCards,away_redCards,home_totalPasses,away_totalPasses,home_accuratePasses,away_accuratePasses,home_accuratePassesPercentage,away_accuratePassesPercentage,home_totalLongBalls,away_totalLongBalls,home_accurateLongBalls,away_accurateLongBalls,home_totalCross,away_totalCross,home_accurateCross,away_accurateCross,home_dribbles,away_dribbles,home_successfulDribbles,away_successfulDribbles,home_tackles,away_tackles,home_totalDuels,away_totalDuels,home_totalDuelsWon,away_totalDuelsWon,home_fouls,away_fouls,home_offsides,away_offsides,home_throwIns,away_throwIns,home_goalKicks,away_goalKicks
10056694,2022-01-26,21/22,20,finished,Angers,Angers,angers,Saint-Étienne,Saint-Étienne,saint-etienne,0,1,REGULAR,AWAY_TEAM,,,False,53,47,,,1,0,1,0,7,8,,,,,,,5,3,3,1,13,7,1,1,,,,,421,374,,,,,46,38,,,2,1,,,,,,,,,,,7,13,1,2,37,26,5,8
10056696,2022-01-19,21/22,19,finished,Clermont Foot,Clermont,clermont-foot,RC Strasbourg,Strasbourg,rc-strasbourg,0,2,REGULAR,AWAY_TEAM,,,False,56,44,,,1,3,1,2,7,15,,,,,,,4,1,6,4,13,7,2,0,,,,,443,337,,,,,29,28,,,5,7,,,,,,,,,,,8,13,1,1,19,19,6,10
10062932,2022-01-19,21/22,20,finished,Lille,Lille,lille,Lorient,Lorient,lorient,3,1,REGULAR,HOME_TEAM,,,False,55,45,,,3,1,1,0,13,18,,,,,,,4,3,4,2,11,7,,,,,,,537,423,,,,,40,23,,,5,4,,,,,,,,,,,8,11,0,3,16,10,6,7
10062934,2022-01-19,21/22,20,finished,Montpellier,Montpellier,montpellier,Troyes,Troyes,troyes,0,1,REGULAR,AWAY_TEAM,,,False,52,48,,,1,0,1,0,11,13,,,,,,,4,2,5,4,8,12,5,1,1,0,,,398,357,,,,,47,27,,,1,2,,,,,,,,,,,12,10,1,0,26,25,10,9
10097623,2022-02-01,21/22,14,finished,Olympique Lyonnais,Lyon,olympique-lyonnais,Olympique de Marseille,Marseille,olympique-de-marseille,2,1,REGULAR,HOME_TEAM,,,False,55,45,,,4,2,3,1,12,9,,,,,,,0,2,4,6,8,7,,,,,,,537,436,,,,,18,22,,,5,1,,,,,,,,,,,8,8,3,2,19,13,5,8
10313006,2022-05-17,21/22,1,finished,Paris FC,Paris,paris-fc,Sochaux,,sochaux,1,2,REGULAR,AWAY_TEAM,,,False,43,57,,,4,0,3,0,6,10,,,,,,,1,1,6,4,7,6,4,2,1,0,,,302,442,,,,,28,42,,,1,2,,,,,,,,,,,6,9,1,4,16,24,11,8
10319262,2022-05-20,21/22,2,finished,Auxerre,Auxerre,auxerre,Sochaux,,sochaux,0,0,EXTRA_TIME,DRAW,,,False,61,39,,,2,1,2,1,22,7,,,,,,,0,5,2,2,12,16,2,3,,,,,715,408,,,,,60,44,,,7,1,,,,,,,,,,,17,12,1,10,22,23,6,24
10327229,2022-05-26,21/22,3,finished,Auxerre,Auxerre,auxerre,Saint-Étienne,Saint-Étienne,saint-etienne,1,1,REGULAR,DRAW,,,False,60,40,,,1,0,1,0,12,10,,,,,,,2,4,5,4,9,12,1,1,,,,,375,218,,,,,50,32,,,3,3,,,,,,,,,,,12,9,3,7,25,21,6,7
10327230,2022-05-29,21/22,3,finished,Saint-Étienne,Saint-Étienne,saint-etienne,Auxerre,Auxerre,auxerre,1,1,PENALTY_SHOOTOUT,DRAW,4,5,False,50,50,,,4,1,3,1,19,13,,,,,,,1,8,12,2,10,10,0,1,,,,,437,461,,,,,46,53,,,7,3,,,,,,,,,,,10,11,1,2,40,34,11,14
9594580,2021-09-26,21/22,8,finished,Bordeaux,Bordeaux,bordeaux,Stade Rennais,Rennes,stade-rennais,1,1,REGULAR,DRAW,,,False,46,54,,,0,1,,,10,18,,,,,,,7,2,8,6,20,5,1,4,,,,,253,309,,,,,39,21,,,4,4,,,,,,,,,,,6,20,3,2,17,16,10,9
9594581,2021-09-22,21/22,7,finished,Nantes,Nantes,nantes,Stade Brestois,Brest,stade-brestois,3,1,REGULAR,HOME_TEAM,,,False,42,58,,,3,0,2,0,14,10,,,,,,,1,3,4,4,13,8,1,2,,,,,266,421,,,,,25,30,,,1,7,,,,,,,,,,,8,13,2,2,23,32,4,5
9594582,2021-09-22,21/22,7,finished,Stade Rennais,Rennes,stade-rennais,Clermont Foot,Clermont,clermont-foot,6,0,REGULAR,HOME_TEAM,,,False,56,44,,,5,1,2,1,21,4,,,,,,,1,4,5,7,5,14,1,1,,,,,447,335,,,,,32,19,,,5,4,,,,,,,,,,,14,5,,,24,20,3,10
9594583,2021-09-22,21/22,7,finished,Metz,Metz,metz,Paris Saint-Germain,PSG,paris-saint-germain,1,2,REGULAR,AWAY_TEAM,,,False,26,74,,,1,1,1,1,6,15,,,,,,,2,1,3,3,10,11,6,2,1,0,,,168,642,,,,,21,27,,,3,0,,,,,,,,,,,12,12,4,1,12,30,13,4
9594584,2021-09-22,21/22,7,finished,Lorient,Lorient,lorient,Nice,Nice,nice,1,0,REGULAR,HOME_TEAM,,,False,36,64,,,1,3,1,3,8,13,,,,,,,2,0,6,5,16,11,2,4,1,0,,,219,464,,,,,25,33,,,2,4,,,,,,,,,,,12,16,3,0,27,28,14,3
9594585,2021-09-25,21/22,8,finished,Paris Saint-Germain,PSG,paris-saint-germain,Montpellier,Montpellier,montpellier,2,0,REGULAR,HOME_TEAM,,,False,54,46,,,4,0,3,0,16,10,,,,,,,4,4,8,7,8,10,0,1,,,,,465,377,,,,,20,29,,,2,3,,,,,,,,,,,10,8,5,1,14,22,7,8
9594586,2021-09-22,21/22,7,finished,AS Monaco,AS Monaco,as-monaco,Saint-Étienne,Saint-Étienne,saint-etienne,3,1,REGULAR,HOME_TEAM,,,False,66,34,,,2,0,,,14,8,,,,,,,2,3,6,3,12,16,1,1,0,1,,,499,225,,,,,21,30,,,6,2,,,,,,,,,,,16,13,3,3,15,14,9,6
9594587,2021-09-22,21/22,7,finished,Olympique Lyonnais,Lyon,olympique-lyonnais,Troyes,Troyes,troyes,3,1,REGULAR,HOME_TEAM,,,False,69,31,,,4,3,3,3,15,12,,,,,,,5,5,7,3,8,7,1,3,,,,,574,219,,,,,31,21,,,4,2,,,,,,,,,,,7,9,5,1,23,16,6,8
9594588,2021-09-22,21/22,7,finished,Montpellier,Montpellier,montpellier,Bordeaux,Bordeaux,bordeaux,3,3,REGULAR,DRAW,,,False,55,45,,,2,2,1,1,15,15,,,,,,,4,4,6,6,7,10,0,2,,,,,404,323,,,,,28,42,,,7,2,,,,,,,,,,,10,8,2,1,26,20,9,10
9594589,2021-09-26,21/22,8,finished,Stade de Reims,Reims,stade-de-reims,Nantes,Nantes,nantes,3,1,REGULAR,HOME_TEAM,,,False,45,55,,,2,1,1,1,9,11,,,,,,,1,2,3,7,9,13,1,1,,,,,262,325,,,,,21,31,,,3,5,,,,,,,,,,,14,10,1,2,23,28,12,8
9594591,2021-09-26,21/22,8,finished,Stade Brestois,Brest,stade-brestois,Metz,Metz,metz,1,2,REGULAR,AWAY_TEAM,,,False,66,34,,,3,1,2,1,11,6,,,,,,,2,1,4,3,15,16,3,2,,,,,393,156,,,,,35,22,,,9,3,,,,,,,,,,,16,16,4,1,29,14,2,12
9594592,2021-09-25,21/22,8,finished,RC Strasbourg,Strasbourg,rc-strasbourg,Lille,Lille,lille,1,2,REGULAR,AWAY_TEAM,,,False,58,42,,,0,5,0,3,10,16,,,,,,,5,2,8,8,12,17,4,4,1,0,,,360,258,,,,,26,23,,,6,4,,,,,,,,,,,17,12,0,1,26,17,10,6
9594593,2021-09-26,21/22,8,finished,Olympique de Marseille,Marseille,olympique-de-marseille,RC Lens,Lens,rc-lens,2,3,REGULAR,AWAY_TEAM,,,False,60,40,,,3,4,2,2,13,13,,,,,,,2,2,5,7,13,3,2,1,,,,,485,305,,,,,23,23,,,5,4,,,,,,,,,,,4,14,3,0,29,12,6,9
9594594,2021-09-18,21/22,6,finished,RC Lens,Lens,rc-lens,Lille,Lille,lille,1,0,REGULAR,HOME_TEAM,,,False,47,53,,,0,2,0,2,13,6,,,,,,,2,3,4,3,8,11,2,2,,,,,306,358,,,,,22,26,,,1,1,,,,,,,,,,,12,8,1,4,22,32,4,5
9594595,2021-09-25,21/22,8,finished,Saint-Étienne,Saint-Étienne,saint-etienne,Nice,Nice,nice,0,3,REGULAR,AWAY_TEAM,,,False,60,40,,,1,5,1,3,11,14,,,,,,,6,5,2,9,12,8,0,2,,,,,386,233,,,,,38,25,,,4,2,,,,,,,,,,,9,13,5,2,27,34,11,5
9594596,2021-09-26,21/22,8,finished,Clermont Foot,Clermont,clermont-foot,AS Monaco,AS Monaco,as-monaco,1,3,REGULAR,AWAY_TEAM,,,False,54,46,,,2,3,1,0,12,6,,,,,,,0,3,5,1,12,9,2,4,,,,,433,379,,,,,39,20,,,7,2,,,,,,,,,,,9,12,2,0,17,17,6,8
9594597,2021-09-25,21/22,8,finished,Olympique Lyonnais,Lyon,olympique-lyonnais,Lorient,Lorient,lorient,1,1,REGULAR,DRAW,,,False,53,47,,,2,0,1,0,12,12,,,,,,,4,1,9,3,9,9,1,2,1,0,,,413,370,,,,,19,28,,,2,4,,,,,,,,,,,9,10,1,2,13,15,8,6
9594598,2021-09-19,21/22,6,finished,Olympique de Marseille,Marseille,olympique-de-marseille,Stade Rennais,Rennes,stade-rennais,2,0,REGULAR,HOME_TEAM,,,False,65,35,,,3,1,2,1,17,13,,,,,,,2,4,6,7,15,5,0,2,,,,,478,227,,,,,31,26,,,11,5,,,,,,,,,,,5,17,0,1,24,22,8,10
9594599,2021-09-19,21/22,6,finished,Clermont Foot,Clermont,clermont-foot,Stade Brestois,Brest,stade-brestois,1,1,REGULAR,DRAW,,,False,58,42,,,1,1,1,0,7,5,,,,,,,0,3,3,5,18,7,1,1,1,0,,,490,345,,,,,31,32,,,6,2,,,,,,,,,,,7,19,0,1,21,10,2,7
9594600,2021-09-12,21/22,5,finished,Stade Rennais,Rennes,stade-rennais,Stade de Reims,Reims,stade-de-reims,0,2,REGULAR,AWAY_TEAM,,,False,64,36,,,1,1,1,0,10,7,,,,,,,1,1,4,6,11,16,1,2,,,,,475,224,,,,,40,33,,,4,2,,,,,,,,,,,18,11,2,2,33,24,3,10
9594601,2021-09-19,21/22,6,finished,Angers,Angers,angers,Nantes,Nantes,nantes,1,4,REGULAR,AWAY_TEAM,,,False,66,34,,,0,5,0,1,10,8,,,,,,,0,4,10,5,15,10,2,2,,,,,490,207,,,,,39,16,,,5,5,,,,,,,,,,,10,16,1,1,23,30,7,7
9594602,2021-09-11,21/22,5,finished,Paris Saint-Germain,PSG,paris-saint-germain,Clermont Foot,Clermont,clermont-foot,4,0,REGULAR,HOME_TEAM,,,False,52,48,,,4,1,2,1,13,14,,,,,,,2,3,4,4,9,12,0,1,,,,,516,461,,,,,25,24,,,2,5,,,,,,,,,,,13,9,1,1,12,19,8,4
9594603,2021-09-22,21/22,7,finished,RC Lens,Lens,rc-lens,RC Strasbourg,Strasbourg,rc-strasbourg,0,1,REGULAR,AWAY_TEAM,,,False,60,40,,,4,2,4,1,17,6,,,,,,,0,4,7,3,7,13,2,3,1,0,,,587,372,,,,,25,26,,,3,7,,,,,,,,,,,14,7,1,1,13,13,7,7
9594604,2021-09-19,21/22,6,finished,Troyes,Troyes,troyes,Montpellier,Montpellier,montpellier,1,1,REGULAR,DRAW,,,False,42,58,,,1,0,,,8,6,,,,,,,1,2,1,6,11,16,4,4,0,1,,,288,416,,,,,24,38,,,3,5,,,,,,,,,,,16,11,3,1,19,28,3,7
9594605,2021-09-22,21/22,7,finished,Angers,Angers,angers,Olympique de Marseille,Marseille,olympique-de-marseille,0,0,REGULAR,DRAW,,,False,41,59,,,0,2,0,2,9,6,,,,,,,1,1,4,2,6,9,1,3,,,,,401,620,,,,,33,35,,,4,3,,,,,,,,,,,9,7,1,1,16,28,7,10
9594606,2021-09-12,21/22,5,finished,Nantes,Nantes,nantes,Nice,Nice,nice,0,2,REGULAR,AWAY_TEAM,,,False,50,50,,,3,4,3,2,19,9,,,,,,,1,6,8,3,13,7,2,3,,,,,335,350,,,,,31,17,,,9,3,,,,,,,,,,,7,13,0,1,31,21,3,9
9594607,2021-09-19,21/22,6,finished,Paris Saint-Germain,PSG,paris-saint-germain,Olympique Lyonnais,Lyon,olympique-lyonnais,2,1,REGULAR,HOME_TEAM,,,False,54,46,,,3,1,1,0,14,12,,,,,,,4,3,10,4,18,11,3,1,,,,,465,382,,,,,20,35,,,3,2,,,,,,,,,,,13,19,2,3,9,15,6,9
