match_id,date,season,round,status,home_team,home_team_short,home_team_slug,away_team,away_team_short,away_team_slug,home_goals,away_goals,duration,result,home_penalties,away_penalties,has_xg,home_ballPossession,away_ballPossession,home_expectedGoals,away_expectedGoals,home_bigChanceCreated,away_bigChanceCreated,home_bigChanceMissed,away_bigChanceMissed,home_totalShotsOnGoal,away_totalShotsOnGoal,home_shotsOnTarget,away_shotsOnTarget,home_shotsOffTarget,away_shotsOffTarget,home_blockedShots,away_blockedShots,home_goalkeeperSaves,away_goalkeeperSaves,home_cornerKicks,away_cornerKicks,home_freeKicks,away_freeKicks,home_yellowCards,away_yellowCards,home_redCards,away_redCards,home_totalPasses,away_totalPasses,home_accuratePasses,away_accuratePasses,home_accuratePassesPercentage,away_accuratePassesPercentage,home_totalLongBalls,away_totalLongBalls,home_accurateLongBalls,away_accurateLongBalls,home_totalCross,away_totalCross,home_accurateCross,away_accurateCross,home_dribbles,away_dribbles,home_successfulDribbles,away_successfulDribbles,home_tackles,away_tackles,home_totalDuels,away_totalDuels,home_totalDuelsWon,away_totalDuelsWon,home_fouls,away_fouls,home_offsides,away_offsides,home_throwIns,away_throwIns,home_goalKicks,away_goalKicks
10045827,2022-01-13,21/22,16,finished,Famalicão,Famalicão,famalicao,B-SAD,B-SAD,b-sad,1,0,REGULAR,HOME_TEAM,,,False,53,47,,,0,2,0,2,11,9,,,,,,,4,1,6,5,20,19,1,2,,,,,293,232,,,,,41,14,,,4,4,,,,,,,,,,,20,20,0,3,27,35,8,4
10068763,2022-01-27,21/22,18,finished,Estoril Praia,Estoril,estoril-praia,FC Arouca,Arouca,arouca,1,2,REGULAR,AWAY_TEAM,,,False,44,56,,,1,1,1,0,11,21,,,,,,,3,3,4,9,18,15,3,2,,,,,291,393,,,,,27,24,,,3,10,,,,,,,,,,,15,18,,,21,24,7,7
10315153,2022-05-29,21/22,1,finished,Moreirense,Moreirense,moreirense,Chaves,Chaves,chaves,1,0,REGULAR,HOME_TEAM,,,False,61,39,,,0,1,0,1,9,8,,,,,,,2,3,6,8,13,16,4,2,,,,,210,102,,,,,28,12,,,5,6,,,,,,,,,,,16,16,2,0,42,37,8,7
10315499,2022-05-21,21/22,1,finished,Chaves,Chaves,chaves,Moreirense,Moreirense,moreirense,2,0,REGULAR,HOME_TEAM,,,False,48,52,,,1,0,,,10,13,,,,,,,1,0,6,5,19,15,1,2,,,,,185,191,,,,,22,31,,,3,3,,,,,,,,,,,15,19,,,29,33,11,7
9619749,2021-08-07,21/22,1,finished,Marítimo,Marítimo,maritimo,Sporting Braga,Braga,sporting-braga,0,2,REGULAR,AWAY_TEAM,,,False,43,57,,,0,1,,,7,11,,,,,,,3,0,3,6,12,21,3,3,,,,,274,376,,,,,32,34,,,2,6,,,,,,,,,,,23,12,1,0,25,28,10,5
9619750,2021-08-08,21/22,1,finished,Vitória SC,Vitória,vitoria-sc,Portimonense SAD,Portimonense,portimonense,0,1,REGULAR,AWAY_TEAM,,,False,55,45,,,3,1,3,0,18,7,,,,,,,0,3,10,5,11,14,2,3,,,,,365,310,,,,,25,37,,,11,5,,,,,,,,,,,15,12,2,6,25,18,5,11
9619751,2021-08-08,21/22,1,finished,Tondela,Tondela,tondela,Santa Clara,Santa Clara,santa-clara,3,0,REGULAR,HOME_TEAM,,,False,42,58,,,3,3,0,3,10,23,,,,,,,5,2,3,5,10,19,1,3,,,,,255,401,,,,,30,28,,,4,7,,,,,,,,,,,19,10,1,2,18,16,19,5
9619752,2021-08-09,21/22,1,finished,Gil Vicente,Gil Vicente,gil-vicente,Boavista,Boavista,boavista,3,0,REGULAR,HOME_TEAM,,,False,60,40,,,4,1,2,1,9,13,,,,,,,5,3,1,5,10,21,3,3,,,,,474,267,,,,,51,25,,,3,4,,,,,,,,,,,21,10,1,3,21,27,7,7
9619753,2021-08-07,21/22,1,finished,Moreirense,Moreirense,moreirense,Benfica,Benfica,benfica,1,2,REGULAR,AWAY_TEAM,,,False,39,61,,,2,5,1,3,10,10,,,,,,,4,2,0,6,18,19,4,4,0,1,,,229,429,,,,,21,28,,,5,1,,,,,,,,,,,20,18,1,0,30,34,4,5
9619754,2021-08-08,21/22,1,finished,Paços de Ferreira,Paços de Ferreira,pacos-de-ferreira,Famalicão,Famalicão,famalicao,2,0,REGULAR,HOME_TEAM,,,False,58,42,,,4,2,3,2,20,11,,,,,,,3,1,6,3,19,32,2,4,,,,,381,270,,,,,35,26,,,11,6,,,,,,,,,,,33,19,0,3,26,15,7,9
9619755,2021-08-08,21/22,1,finished,FC Porto,Porto,fc-porto,B-SAD,B-SAD,b-sad,2,0,REGULAR,HOME_TEAM,,,False,73,27,,,4,1,3,1,21,7,,,,,,,3,5,8,3,15,9,2,3,,,,,621,181,,,,,56,23,,,5,0,,,,,,,,,,,11,15,0,2,21,20,3,14
9619756,2021-08-07,21/22,1,finished,FC Arouca,Arouca,arouca,Estoril Praia,Estoril,estoril-praia,0,2,REGULAR,AWAY_TEAM,,,False,56,44,,,1,3,1,2,12,13,,,,,,,4,3,3,2,13,14,1,3,,,,,428,320,,,,,33,33,,,4,4,,,,,,,,,,,14,13,4,2,23,23,8,9
9619757,2021-08-06,21/22,1,finished,Sporting CP,Sporting,sporting,Vizela,Vizela,vizela,3,0,REGULAR,HOME_TEAM,,,False,67,33,,,3,0,2,0,15,6,,,,,,,1,2,3,5,14,8,1,3,,,,,541,213,,,,,42,11,,,9,0,,,,,,,,,,,9,16,2,5,25,13,5,12
9619928,2021-11-05,21/22,11,finished,Boavista,Boavista,boavista,Famalicão,Famalicão,famalicao,2,5,REGULAR,AWAY_TEAM,,,False,52,48,,,2,5,0,1,16,15,,,,,,,5,3,6,2,13,12,5,3,2,0,,,354,340,,,,,21,21,,,6,2,,,,,,,,,,,13,13,0,1,21,18,5,8
9619929,2021-11-07,21/22,11,finished,Tondela,Tondela,tondela,Marítimo,Marítimo,maritimo,4,2,REGULAR,HOME_TEAM,,,False,43,57,,,5,2,1,1,14,20,,,,,,,8,4,3,4,22,22,3,8,0,1,,,223,304,,,,,32,40,,,0,4,,,,,,,,,,,22,24,1,6,21,26,9,6
9619930,2021-11-06,21/22,11,finished,Portimonense SAD,Portimonense,portimonense,B-SAD,B-SAD,b-sad,2,0,REGULAR,HOME_TEAM,,,False,51,49,,,1,0,1,0,14,16,,,,,,,3,4,6,5,13,19,5,4,,,,,328,314,,,,,29,25,,,4,1,,,,,,,,,,,21,13,4,1,24,27,11,5
9619931,2021-11-06,21/22,11,finished,Vitória SC,Vitória,vitoria-sc,Moreirense,Moreirense,moreirense,2,1,REGULAR,HOME_TEAM,,,False,55,45,,,2,1,1,1,11,20,,,,,,,7,3,5,9,10,11,2,1,,,,,344,251,,,,,36,34,,,3,3,,,,,,,,,,,12,10,2,1,25,27,13,4
9619932,2021-11-06,21/22,11,finished,Vizela,Vizela,vizela,Estoril Praia,Estoril,estoril-praia,1,1,REGULAR,DRAW,,,False,48,52,,,3,1,2,0,12,8,,,,,,,5,2,3,1,16,13,2,3,,,,,337,376,,,,,26,32,,,5,4,,,,,,,,,,,13,16,0,1,17,32,9,8
9619933,2021-10-29,21/22,10,finished,FC Arouca,Arouca,arouca,Tondela,Tondela,tondela,2,0,REGULAR,HOME_TEAM,,,False,39,61,,,1,1,0,1,3,14,,,,,,,6,0,4,6,12,19,5,4,1,0,,,173,321,,,,,27,30,,,3,1,,,,,,,,,,,20,12,3,1,26,27,11,1
