match_id,date,season,round,status,home_team,home_team_short,home_team_slug,away_team,away_team_short,away_team_slug,home_goals,away_goals,duration,result,home_penalties,away_penalties,has_xg,home_ballPossession,away_ballPossession,home_expectedGoals,away_expectedGoals,home_bigChanceCreated,away_bigChanceCreated,home_bigChanceMissed,away_bigChanceMissed,home_totalShotsOnGoal,away_totalShotsOnGoal,home_shotsOnTarget,away_shotsOnTarget,home_shotsOffTarget,away_shotsOffTarget,home_blockedShots,away_blockedShots,home_goalkeeperSaves,away_goalkeeperSaves,home_cornerKicks,away_cornerKicks,home_freeKicks,away_freeKicks,home_yellowCards,away_yellowCards,home_redCards,away_redCards,home_totalPasses,away_totalPasses,home_accuratePasses,away_accuratePasses,home_accuratePassesPercentage,away_accuratePassesPercentage,home_totalLongBalls,away_totalLongBalls,home_accurateLongBalls,away_accurateLongBalls,home_totalCross,away_totalCross,home_accurateCross,away_accurateCross,home_dribbles,away_dribbles,home_successfulDribbles,away_successfulDribbles,home_tackles,away_tackles,home_totalDuels,away_totalDuels,home_totalDuelsWon,away_totalDuelsWon,home_fouls,away_fouls,home_offsides,away_offsides,home_throwIns,away_throwIns,home_goalKicks,away_goalKicks
11406721,2024-05-19,23/24,37,finished,Udinese,Udinese,udinese,Empoli,Empoli,empoli,1,1,REGULAR,DRAW,,,True,47,53,1.74,0.86,3,1,2,0,8,4,,,,,,,0,1,5,5,16,13,1,7,0,1,,,225,257,,,,,33,18,,,1,1,,,,,,,,,,,14,18,1,3,27,25,6,9
11406722,2024-05-25,23/24,38,finished,Juventus,Juventus,juventus,Monza,Monza,monza,2,0,REGULAR,HOME_TEAM,,,True,42,58,0.91,0.62,3,1,2,1,12,12,,,,,,,4,2,3,4,12,14,1,3,0,1,,,323,450,,,,,24,25,,,3,8,,,,,,,,,,,15,13,0,1,20,12,8,4
11406723,2024-05-24,23/24,38,finished,Genoa,Genoa,genoa,Bologna,Bologna,bologna,2,0,REGULAR,HOME_TEAM,,,True,27,73,1.52,0.99,2,0,1,0,15,11,,,,,,,1,2,3,6,11,9,1,2,,,,,158,532,,,,,24,31,,,5,7,,,,,,,,,,,11,11,2,3,14,20,9,10
11406724,2024-05-26,23/24,38,finished,Hellas Verona,Verona,hellas-verona,Inter,Inter,inter,2,2,REGULAR,DRAW,,,True,35,65,1.75,2.38,2,6,1,4,18,15,,,,,,,8,6,9,3,8,16,1,1,,,,,238,514,,,,,25,39,,,6,4,,,,,,,,,,,17,8,2,5,15,20,5,6
11406725,2024-05-26,23/24,38,finished,Empoli,Empoli,empoli,Roma,Roma,roma,2,1,REGULAR,HOME_TEAM,,,True,33,67,2.64,1.34,8,3,6,2,17,15,,,,,,,3,5,4,5,12,18,4,1,,,,,185,473,,,,,17,19,,,3,4,,,,,,,,,,,18,12,3,2,12,21,9,8
11406726,2024-05-26,23/24,38,finished,Frosinone,Frosinone,frosinone,Udinese,Udinese,udinese,0,1,REGULAR,AWAY_TEAM,,,True,58,42,0.8,0.78,0,1,0,1,21,10,,,,,,,4,5,11,1,12,5,0,2,,,,,296,185,,,,,19,22,,,5,3,,,,,,,,,,,6,13,0,2,20,22,6,10
11406727,2024-05-19,23/24,37,finished,Inter,Inter,inter,Lazio,Lazio,lazio,1,1,REGULAR,DRAW,,,True,58,42,1.46,0.62,3,1,2,1,19,8,,,,,,,2,6,8,0,15,8,0,1,,,,,518,351,,,,,37,33,,,10,2,,,,,,,,,,,10,15,0,3,11,19,7,17
11406728,2024-05-13,23/24,36,finished,Lecce,Lecce,lecce,Udinese,Udinese,udinese,0,2,REGULAR,AWAY_TEAM,,,True,65,35,0.37,1.46,0,2,0,1,9,16,,,,,,,1,2,8,2,11,12,2,1,,,,,435,215,,,,,34,21,,,3,5,,,,,,,,,,,12,11,1,0,24,18,11,12
11406729,2024-05-23,23/24,38,finished,Cagliari,Cagliari,cagliari,Fiorentina,Fiorentina,fiorentina,2,3,REGULAR,AWAY_TEAM,,,True,37,63,1.91,1.99,5,3,4,1,14,11,,,,,,,2,4,4,5,13,11,2,4,,,,,173,364,,,,,29,30,,,8,4,,,,,,,,,,,13,14,4,1,24,29,2,13
11406730,2024-05-26,23/24,38,finished,Atalanta,Atalanta,atalanta,Torino,Torino,torino,3,0,REGULAR,HOME_TEAM,,,True,40,60,2.62,1.06,3,3,1,3,18,8,,,,,,,1,4,2,5,9,16,1,1,,,,,306,498,,,,,11,23,,,5,3,,,,,,,,,,,18,10,1,3,19,20,7,13
11406731,2024-05-19,23/24,37,finished,Roma,Roma,roma,Genoa,Genoa,genoa,1,0,REGULAR,HOME_TEAM,,,True,54,46,0.83,0.5,,,,,21,12,,,,,,,5,5,6,3,10,9,2,0,1,0,,,398,320,,,,,22,29,,,5,6,,,,,,,,,,,10,10,0,2,23,17,4,14
11406732,2024-05-19,23/24,37,finished,Monza,Monza,monza,Frosinone,Frosinone,frosinone,0,1,REGULAR,AWAY_TEAM,,,True,71,29,1.02,2.06,2,2,2,1,14,16,,,,,,,4,2,3,4,13,13,1,2,,,,,518,178,,,,,24,12,,,13,3,,,,,,,,,,,14,13,,,20,17,12,9
11406733,2024-05-26,23/24,38,finished,Lazio,Lazio,lazio,Sassuolo,Sassuolo,sassuolo,1,1,REGULAR,DRAW,,,True,69,31,1.03,1.11,3,1,3,0,8,8,,,,,,,2,5,5,3,11,15,3,1,,,,,633,241,,,,,21,16,,,3,4,,,,,,,,,,,15,11,5,0,12,21,7,3
11406734,2024-05-12,23/24,36,finished,Juventus,Juventus,juventus,Salernitana,Salernitana,salernitana,1,1,REGULAR,DRAW,,,True,67,33,2.3,0.78,3,1,2,1,25,13,,,,,,,3,5,9,4,12,14,2,5,,,,,444,186,,,,,31,24,,,9,6,,,,,,,,,,,15,12,3,1,26,19,6,16
11406735,2024-05-25,23/24,38,finished,Milan,Milan,milan,Salernitana,Salernitana,salernitana,3,3,REGULAR,DRAW,,,True,66,34,2.99,1.66,3,3,1,1,23,14,,,,,,,3,8,13,3,8,5,0,1,,,,,467,217,,,,,26,11,,,13,3,,,,,,,,,,,6,9,1,1,21,9,6,10
11406736,2024-05-19,23/24,37,finished,Sassuolo,Sassuolo,sassuolo,Cagliari,Cagliari,cagliari,0,2,REGULAR,AWAY_TEAM,,,True,50,50,0.27,1.48,0,1,,,7,13,,,,,,,1,0,5,6,9,14,5,2,1,0,,,237,236,,,,,22,24,,,5,4,,,,,,,,,,,14,9,1,2,14,24,12,6
11406737,2024-05-20,23/24,37,finished,Salernitana,Salernitana,salernitana,Hellas Verona,Verona,hellas-verona,1,2,REGULAR,AWAY_TEAM,,,True,53,47,0.59,2.15,1,3,0,2,9,17,,,,,,,3,0,4,6,19,14,3,2,,,,,309,245,,,,,25,25,,,0,5,,,,,,,,,,,14,19,2,2,26,21,12,4
11406738,2024-05-11,23/24,36,finished,Napoli,Napoli,napoli,Bologna,Bologna,bologna,0,2,REGULAR,AWAY_TEAM,,,True,59,41,1.57,1.45,2,2,2,0,16,11,,,,,,,2,6,9,3,11,12,2,1,,,,,478,318,,,,,26,23,,,7,3,,,,,,,,,,,15,12,3,1,28,12,2,15
11406739,2024-05-11,23/24,36,finished,Milan,Milan,milan,Cagliari,Cagliari,cagliari,5,1,REGULAR,HOME_TEAM,,,True,67,33,3.3,1.5,6,1,3,0,17,13,,,,,,,6,5,6,3,9,11,2,1,,,,,584,257,,,,,24,19,,,5,4,,,,,,,,,,,11,9,1,4,11,13,3,3
11406740,2024-05-12,23/24,36,finished,Lazio,Lazio,lazio,Empoli,Empoli,empoli,2,0,REGULAR,HOME_TEAM,,,True,60,40,1.72,1.32,2,1,0,1,11,16,,,,,,,3,3,7,7,15,18,3,1,,,,,409,233,,,,,24,15,,,2,6,,,,,,,,,,,18,15,0,3,25,21,9,7
11406741,2024-05-12,23/24,36,finished,Hellas Verona,Verona,hellas-verona,Torino,Torino,torino,1,2,REGULAR,AWAY_TEAM,,,True,43,57,1.25,0.47,3,2,2,1,13,6,,,,,,,0,4,7,4,14,19,3,2,1,0,,,230,363,,,,,28,26,,,7,5,,,,,,,,,,,19,15,1,0,20,22,5,8
11406742,2024-05-18,23/24,37,finished,Lecce,Lecce,lecce,Atalanta,Atalanta,atalanta,0,2,REGULAR,AWAY_TEAM,,,True,44,56,1.31,1.59,2,4,2,2,11,19,,,,,,,7,3,2,5,20,7,0,4,,,,,360,477,,,,,22,14,,,5,7,,,,,,,,,,,7,20,1,0,17,19,10,10
11406743,2024-05-05,23/24,35,finished,Cagliari,Cagliari,cagliari,Lecce,Lecce,lecce,1,1,REGULAR,DRAW,,,True,34,66,0.96,1.82,1,2,0,1,9,16,,,,,,,2,2,3,10,13,8,4,4,1,0,,,137,359,,,,,23,23,,,5,9,,,,,,,,,,,9,15,1,1,13,19,14,7
11406744,2024-05-18,23/24,37,finished,Torino,Torino,torino,Milan,Milan,milan,3,1,REGULAR,HOME_TEAM,,,True,40,60,0.94,1.96,2,1,,,11,16,,,,,,,3,2,3,8,14,15,1,1,,,,,229,373,,,,,18,14,,,4,6,,,,,,,,,,,15,14,2,0,14,13,8,7
11406745,2024-05-05,23/24,35,finished,Hellas Verona,Verona,hellas-verona,Fiorentina,Fiorentina,fiorentina,2,1,REGULAR,HOME_TEAM,,,True,38,62,1.89,0.94,1,2,0,1,9,13,,,,,,,3,2,1,2,10,12,2,1,,,,,176,339,,,,,20,29,,,2,2,,,,,,,,,,,12,11,3,4,16,20,8,8
11406746,2024-05-05,23/24,35,finished,Empoli,Empoli,empoli,Frosinone,Frosinone,frosinone,0,0,REGULAR,DRAW,,,True,47,53,0.31,1.3,,,,,7,17,,,,,,,5,1,3,8,11,15,2,3,,,,,174,225,,,,,16,21,,,1,6,,,,,,,,,,,15,11,5,1,24,22,7,2
11406747,2024-05-20,23/24,37,finished,Bologna,Bologna,bologna,Juventus,Juventus,juventus,3,3,REGULAR,DRAW,,,True,62,38,1.5,0.73,3,3,2,2,10,11,,,,,,,1,2,3,2,20,8,1,5,,,,,521,299,,,,,24,14,,,3,3,,,,,,,,,,,8,21,3,1,15,14,9,4
11406748,2024-05-26,23/24,38,finished,Napoli,Napoli,napoli,Lecce,Lecce,lecce,0,0,REGULAR,DRAW,,,True,67,33,1.52,0.5,1,1,1,1,24,10,,,,,,,0,5,4,1,17,10,,,,,,,597,242,,,,,15,32,,,4,0,,,,,,,,,,,10,17,0,1,26,18,11,14
11406749,2024-05-17,23/24,37,finished,Fiorentina,Fiorentina,fiorentina,Napoli,Napoli,napoli,2,2,REGULAR,DRAW,,,True,63,37,0.64,1.19,0,2,0,1,14,15,,,,,,,1,3,5,3,13,16,1,2,,,,,399,206,,,,,30,14,,,2,5,,,,,,,,,,,16,14,1,0,23,14,11,5
11406750,2024-05-05,23/24,35,finished,Milan,Milan,milan,Genoa,Genoa,genoa,3,3,REGULAR,DRAW,,,True,60,40,2.8,0.96,3,1,1,0,26,6,,,,,,,0,4,7,1,10,7,1,1,,,,,464,287,,,,,18,28,,,8,3,,,,,,,,,,,8,10,2,1,10,14,4,11
11406751,2024-05-05,23/24,35,finished,Roma,Roma,roma,Juventus,Juventus,juventus,1,1,REGULAR,DRAW,,,True,60,40,1.76,1.2,1,0,,,19,16,,,,,,,5,2,9,6,9,7,1,2,,,,,473,294,,,,,28,31,,,14,7,,,,,,,,,,,7,10,1,2,18,12,11,13
11406752,2024-05-04,23/24,35,finished,Monza,Monza,monza,Lazio,Lazio,lazio,2,2,REGULAR,DRAW,,,True,59,41,1.74,1.4,4,3,3,1,17,9,,,,,,,3,5,5,4,13,8,1,7,,,,,504,334,,,,,31,13,,,6,1,,,,,,,,,,,8,13,1,1,14,13,6,10
11406753,2024-05-04,23/24,35,finished,Sassuolo,Sassuolo,sassuolo,Inter,Inter,inter,1,0,REGULAR,HOME_TEAM,,,True,24,76,0.3,1.08,0,3,0,3,6,14,,,,,,,1,1,2,5,10,10,1,1,,,,,161,657,,,,,22,39,,,0,5,,,,,,,,,,,10,10,0,7,17,21,13,3
11406754,2024-05-06,23/24,35,finished,Salernitana,Salernitana,salernitana,Atalanta,Atalanta,atalanta,1,2,REGULAR,AWAY_TEAM,,,True,31,69,0.5,1.86,0,2,0,1,9,17,,,,,,,2,1,1,7,10,12,1,0,,,,,208,591,,,,,19,22,,,2,8,,,,,,,,,,,12,10,0,3,20,15,16,5
11406755,2024-05-06,23/24,35,finished,Udinese,Udinese,udinese,Napoli,Napoli,napoli,1,1,REGULAR,DRAW,,,True,31,69,0.75,0.83,0,1,,,10,12,,,,,,,3,1,7,5,10,13,,,,,,,204,519,,,,,19,33,,,1,3,,,,,,,,,,,13,10,5,1,19,20,4,11
11406756,2024-05-12,23/24,36,finished,Genoa,Genoa,genoa,Sassuolo,Sassuolo,sassuolo,2,1,REGULAR,HOME_TEAM,,,True,57,43,0.89,1.71,2,2,1,1,8,12,,,,,,,3,0,3,7,9,12,1,2,,,,,414,275,,,,,19,30,,,5,3,,,,,,,,,,,13,10,3,0,21,16,11,7
11406757,2024-05-03,23/24,35,finished,Torino,Torino,torino,Bologna,Bologna,bologna,0,0,REGULAR,DRAW,,,True,47,53,0.66,0.16,1,0,1,0,8,5,,,,,,,1,1,2,4,11,12,2,2,,,,,359,411,,,,,21,21,,,4,2,,,,,,,,,,,14,11,0,1,18,17,7,5
11406758,2024-04-28,23/24,34,finished,Bologna,Bologna,bologna,Udinese,Udinese,udinese,1,1,REGULAR,DRAW,,,True,65,35,0.75,0.74,,,,,15,11,,,,,,,3,3,10,3,21,11,3,7,1,0,,,546,270,,,,,24,22,,,3,4,,,,,,,,,,,11,21,1,1,18,16,6,9
11406759,2024-04-28,23/24,34,finished,Atalanta,Atalanta,atalanta,Empoli,Empoli,empoli,2,0,REGULAR,HOME_TEAM,,,True,59,41,1.89,0.42,2,0,1,0,17,11,,,,,,,2,3,8,1,13,19,1,2,,,,,366,219,,,,,19,21,,,5,6,,,,,,,,,,,19,14,1,1,33,24,7,8
